,Open,High,Low,Close,Volume
2017-09-14 16:00:00,65.31,65.87,65.16,65.68,1481022
2017-09-15 16:00:00,65.68,66.13,65.62,65.96,2295974
2017-09-18 16:00:00,66.09,66.3,65.7,66.08,1562007
2017-09-19 16:00:00,66.25,66.45,66.0,66.17,1238004
2017-09-20 16:00:00,66.31,66.36,65.77,66.09,1186007
2017-09-21 16:00:00,65.88,66.14,65.63,65.92,874785
2017-09-22 16:00:00,65.85,66.27,65.71,65.78,1296244
2017-09-25 16:00:00,65.8,65.9,64.44,64.73,1841833
2017-09-26 16:00:00,64.65,64.9,63.91,64.11,1615338
2017-09-27 16:00:00,64.27,64.66,64.05,64.39,1258810
2017-09-28 16:00:00,64.25,64.62,63.97,63.98,1126243
2017-09-29 16:00:00,64.0,64.275,63.72,64.2,1672816
2017-10-02 16:00:00,64.29,65.07,64.21,64.87,1693854
2017-10-03 16:00:00,65.06,65.78,65.06,65.15,1216981
2017-10-04 16:00:00,65.15,65.87,65.15,65.83,745628
2017-10-05 16:00:00,65.85,65.99,65.52,65.7,1974081
2017-10-06 16:00:00,65.68,66.38,65.66,66.36,1405100
2017-10-09 16:00:00,66.49,66.77,66.02,66.56,1542307
2017-10-10 16:00:00,66.68,66.86,66.22,66.6,1143075
2017-10-11 16:00:00,66.68,66.84,66.67,66.71,61331
2017-10-12 16:00:00,66.65,67.6,66.54,67.54,1454994
2017-10-13 16:00:00,67.63,67.82,66.89,66.99,943164
2017-10-16 16:00:00,67.2,67.37,66.77,66.91,1473459
2017-10-17 16:00:00,66.68,66.68,65.99,66.12,1711833
2017-10-18 16:00:00,66.38,66.585,66.07,66.44,1150468
2017-10-19 16:00:00,66.44,66.975,66.06,66.88,1359119
2017-10-20 16:00:00,67.19,67.53,67.07,67.25,1506112
2017-10-23 16:00:00,67.45,67.68,66.93,67.02,1267570
2017-10-24 16:00:00,67.31,67.55,66.88,67.32,1975704
2017-10-25 16:00:00,67.9,68.52,67.03,67.39,1795014
2017-10-26 16:00:00,67.53,67.83,67.2,67.71,1418152
2017-10-27 16:00:00,67.81,68.01,67.41,67.97,1440996
2017-10-30 16:00:00,67.8,67.93,67.1,67.49,846605
2017-10-31 16:00:00,67.74,68.17,67.54,68.03,1614432
2017-11-01 16:00:00,68.2,68.44,67.84,68.02,1357998
2017-11-02 16:00:00,68.08,68.38,67.81,68.13,1856865
2017-11-03 16:00:00,68.09,68.67,68.01,68.37,1072288
2017-11-06 16:00:00,68.27,68.45,67.87,68.22,995731
2017-11-07 16:00:00,68.32,68.64,68.04,68.25,956466
2017-11-08 16:00:00,68.1,68.33,67.771,68.11,977616
2017-11-09 16:00:00,67.92,67.98,66.91,67.47,1665083
2017-11-10 16:00:00,67.35,67.58,66.7,66.81,1704549
2017-11-13 16:00:00,66.45,67.39,66.25,67.13,1536388
2017-11-14 16:00:00,66.98,67.8,66.89,67.46,2426247
2017-11-15 16:00:00,67.29,67.56,66.91,67.31,2042296
2017-11-16 16:00:00,67.5,68.95,67.45,68.74,2300408
2017-11-17 16:00:00,68.53,69.09,68.29,68.79,1823122
2017-11-20 16:00:00,69.28,70.23,68.95,69.96,4143453
2017-11-21 16:00:00,70.05,70.81,67.7,69.91,5330554
2017-11-22 16:00:00,69.14,69.37,68.3,68.69,3041728
2017-11-24 13:00:00,68.84,69.39,68.78,69.36,1015411
2017-11-27 16:00:00,69.22,69.49,69.17,69.31,1439275
2017-11-28 16:00:00,69.56,70.93,69.42,70.59,2473433
2017-11-29 16:00:00,70.5,70.84,68.45,68.69,1904175
2017-11-30 16:00:00,68.97,69.59,68.21,69.24,1922514
2017-12-01 16:00:00,69.19,70.0,67.23,68.69,2516564
2017-12-04 16:00:00,68.94,69.17,66.18,66.24,2899424
2017-12-05 16:00:00,66.2,67.0,65.73,65.83,2383974
2017-12-06 16:00:00,65.88,66.25,65.601,65.89,1690108
2017-12-07 16:00:00,65.91,66.8811,65.77,66.71,2294513
2017-12-08 16:00:00,67.38,67.5468,66.6523,67.38,2195577
2017-12-11 16:00:00,67.43,67.75,66.48,67.0,2438556
2017-12-12 16:00:00,67.06,67.16,66.5,67.06,2180984
2017-12-13 16:00:00,67.23,67.66,66.64,66.68,1684618
