,Open,High,Low,Close,Volume
2017-10-25 16:00:00,51.78,51.78,50.61,51.02,4658297
2017-10-26 16:00:00,52.0,53.19,48.32,48.61,12079047
2017-10-27 16:00:00,48.41,48.89,47.33,47.56,8591454
2017-10-30 16:00:00,47.65,47.67,46.83,47.25,5402530
2017-10-31 16:00:00,47.22,47.6,46.79,46.82,4596604
2017-11-01 16:00:00,48.0,48.2,47.37,47.84,4354521
2017-11-02 16:00:00,47.79,47.9291,47.09,47.36,2410660
2017-11-03 16:00:00,47.36,47.61,46.8,47.45,4037183
2017-11-06 16:00:00,47.46,48.1,47.28,47.51,4249493
2017-11-07 16:00:00,47.51,47.54,46.4,46.46,3756424
2017-11-08 16:00:00,46.42,46.98,45.84,46.37,3198779
2017-11-09 16:00:00,45.85,46.35,45.36,45.77,3561501
2017-11-10 16:00:00,45.64,46.12,45.56,45.82,2433022
2017-11-13 16:00:00,45.63,45.86,45.33,45.74,1772439
2017-11-14 16:00:00,45.3,45.97,45.27,45.81,1827200
2017-11-15 16:00:00,45.71,47.31,45.45,47.19,5223111
2017-11-16 16:00:00,47.26,48.06,47.24,47.68,4462040
2017-11-17 16:00:00,47.6,47.75,47.1883,47.39,2324811
2017-11-20 16:00:00,47.33,47.88,47.12,47.69,2436018
2017-11-21 16:00:00,47.89,48.92,47.54,48.65,2796204
2017-11-22 16:00:00,48.58,48.97,48.27,48.66,2326894
2017-11-24 13:00:00,48.66,48.76,48.35,48.56,1352400
