,Open,High,Low,Close,Volume
2017-09-14 16:00:00,100.09,100.09,99.0,100.02,1322733
2017-09-15 16:00:00,99.77,99.77,98.26,99.51,2586874
2017-09-18 16:00:00,99.66,100.29,98.49,98.58,2072136
2017-09-19 16:00:00,99.0,100.71,94.24,94.85,3099110
2017-09-20 16:00:00,94.5,96.1,93.67,94.75,1454378
2017-09-21 16:00:00,94.75,94.97,93.19,93.68,1597290
2017-09-22 16:00:00,93.9,95.906,93.68,95.59,1784094
2017-09-25 16:00:00,95.83,98.55,95.39,97.94,2681297
2017-09-26 16:00:00,97.99,98.43,96.9,97.59,1175482
2017-09-27 16:00:00,98.2,99.45,97.41,99.33,1252064
2017-09-28 16:00:00,99.26,99.92,98.91,99.5,1132752
2017-09-29 16:00:00,99.7,99.99,98.2377,99.2,1878241
2017-10-02 16:00:00,99.58,99.74,98.39,99.36,1517333
2017-10-03 16:00:00,99.46,100.095,98.24,98.98,934960
2017-10-04 16:00:00,95.04,98.41,94.48,94.93,2780255
2017-10-05 16:00:00,94.77,95.85,93.6,94.33,2050807
2017-10-06 16:00:00,94.14,95.67,93.69,94.29,1316795
2017-10-09 16:00:00,94.23,94.47,90.99,91.12,1951654
2017-10-10 16:00:00,91.22,92.38,91.02,91.84,1260603
2017-10-11 16:00:00,91.7,92.16,91.36,91.375,46040
2017-10-12 16:00:00,89.38,89.5,86.49,86.56,2514625
2017-10-13 16:00:00,86.76,86.8726,85.4,85.51,1969473
2017-10-16 16:00:00,85.7,86.05,84.755,86.01,2448040
2017-10-17 16:00:00,86.38,88.97,86.2,88.09,2100239
2017-10-18 16:00:00,87.83,88.88,87.44,87.81,2345242
2017-10-19 16:00:00,86.24,87.96,85.34,86.92,2400967
2017-10-20 16:00:00,87.36,87.72,85.93,86.78,1156760
2017-10-23 16:00:00,86.55,87.44,85.58,85.91,1345034
2017-10-24 16:00:00,85.73,85.93,83.5,84.25,1789466
2017-10-25 16:00:00,83.71,84.06,81.82,83.31,2052654
2017-10-26 16:00:00,82.89,87.64,81.31,85.65,3229414
2017-10-27 16:00:00,85.14,85.65,81.805,81.93,2927815
2017-10-30 16:00:00,81.93,82.13,81.13,82.0,2309813
2017-10-31 16:00:00,82.17,83.1523,81.68,81.74,1081473
2017-11-01 16:00:00,82.33,82.74,80.68,80.75,1157567
2017-11-02 16:00:00,81.02,82.91,80.21,81.69,1669094
2017-11-03 16:00:00,81.39,82.38,80.27,81.8,1108556
2017-11-06 16:00:00,81.53,81.81,80.31,80.71,1173931
2017-11-07 16:00:00,80.66,80.83,78.9,79.38,1262100
2017-11-08 16:00:00,79.2,80.62,78.81,79.41,3233416
2017-11-09 16:00:00,79.56,81.09,79.14,80.45,1898508
2017-11-10 16:00:00,80.16,81.99,80.0,81.22,1942381
2017-11-13 16:00:00,80.72,82.82,80.46,82.28,3894463
2017-11-14 16:00:00,94.88,102.89,94.75,95.72,10153820
2017-11-15 16:00:00,93.93,95.49,91.37,91.58,3073970
2017-11-16 16:00:00,92.0,92.77,89.24,90.5,2288968
2017-11-17 16:00:00,91.02,91.44,89.13,89.27,1549220
2017-11-20 16:00:00,89.21,91.68,88.24,91.43,1498321
2017-11-21 16:00:00,90.94,90.95,88.9,88.93,1610673
2017-11-22 16:00:00,89.2,90.31,88.82,89.62,907746
2017-11-24 13:00:00,89.64,89.9,88.96,89.23,523496
2017-11-27 16:00:00,89.61,90.7839,89.04,89.87,858761
2017-11-28 16:00:00,89.89,92.91,89.63,92.84,1145412
2017-11-29 16:00:00,93.96,100.37,93.405,99.95,3895424
2017-11-30 16:00:00,99.58,101.65,98.67,101.0,2353902
2017-12-01 16:00:00,100.74,100.97,97.89,99.28,2253440
2017-12-04 16:00:00,100.94,105.2,100.76,104.02,2225108
2017-12-05 16:00:00,107.1,107.79,100.02,101.15,2462381
2017-12-06 16:00:00,100.87,101.42,97.47,97.5,1285815
2017-12-07 16:00:00,97.75,98.37,96.57,97.61,1171737
2017-12-08 16:00:00,98.21,100.62,97.38,100.31,925634
2017-12-11 16:00:00,100.15,101.67,99.11,100.85,1490269
2017-12-12 16:00:00,103.03,105.56,101.71,103.03,2442653
2017-12-13 16:00:00,103.63,103.72,101.86,102.5,1093054
