,Open,High,Low,Close,Volume
2017-10-25 16:00:00,82.0,82.52,81.41,82.22,1428571
2017-10-26 16:00:00,83.97,85.8,77.47,78.77,4756230
2017-10-27 16:00:00,78.59,78.77,75.66,76.38,4690478
2017-10-30 16:00:00,76.01,77.78,76.01,76.93,2164912
2017-10-31 16:00:00,76.85,78.99,75.46,76.95,3132825
2017-11-01 16:00:00,77.48,77.495,76.31,76.62,2546091
2017-11-02 16:00:00,77.02,78.93,71.9,73.23,3840211
2017-11-03 16:00:00,73.34,75.3,73.32,74.8,2726048
2017-11-06 16:00:00,74.8,75.2,73.19,74.86,3478259
2017-11-07 16:00:00,74.92,75.73,74.56,74.91,1777500
2017-11-08 16:00:00,74.87,75.41,73.35,75.01,1710169
2017-11-09 16:00:00,75.07,76.63,74.9,75.27,2576849
2017-11-10 16:00:00,75.05,76.68,74.05,75.0,3005741
2017-11-13 16:00:00,74.69,77.0,74.31,75.4,2892626
2017-11-14 16:00:00,75.1,75.48,74.45,75.4,1863339
2017-11-15 16:00:00,75.32,77.66,74.6,77.53,2731010
2017-11-16 16:00:00,77.72,80.71,77.41,80.31,2986809
2017-11-17 16:00:00,79.65,80.03,77.58,78.84,2196698
2017-11-20 16:00:00,78.3,78.76,76.48,77.46,1688577
2017-11-21 16:00:00,77.83,79.57,77.5677,79.46,1598746
2017-11-22 16:00:00,79.98,81.99,79.58,81.4,1927033
2017-11-24 13:00:00,81.9,81.98,80.22,81.23,701755
