,Open,High,Low,Close,Volume
2017-09-14 16:00:00,134.5,135.24,134.0,134.86,3290489
2017-09-15 16:00:00,135.0,135.65,134.04,135.35,3713509
2017-09-18 16:00:00,135.49,137.35,135.49,136.94,2496531
2017-09-19 16:00:00,137.0,137.79,136.71,136.71,2379555
2017-09-20 16:00:00,136.01,138.15,136.01,138.01,1997716
2017-09-21 16:00:00,137.95,138.12,136.57,136.66,2006962
2017-09-22 16:00:00,136.68,138.0,136.5,137.9,1918509
2017-09-25 16:00:00,137.94,138.27,137.26,138.16,2463249
2017-09-26 16:00:00,138.5,138.7,136.75,136.84,2911496
2017-09-27 16:00:00,137.32,137.54,136.12,136.64,3861636
2017-09-28 16:00:00,132.79,137.68,132.27,136.32,4246392
2017-09-29 16:00:00,136.91,137.57,134.84,135.07,3311992
2017-10-02 16:00:00,135.23,135.84,134.62,135.44,2667457
2017-10-03 16:00:00,134.84,135.97,133.66,134.25,2535494
2017-10-04 16:00:00,134.52,135.68,134.4594,135.16,2192962
2017-10-05 16:00:00,135.5,136.37,135.27,136.22,1666067
2017-10-06 16:00:00,136.16,136.97,135.7201,136.25,1275809
2017-10-09 16:00:00,136.25,137.0,136.03,136.99,1012134
2017-10-10 16:00:00,137.0,138.0,136.845,137.52,1804091
2017-10-11 16:00:00,137.19,137.5199,136.76,137.1,78890
2017-10-12 16:00:00,136.98,139.65,136.14,139.2,2872177
2017-10-13 16:00:00,139.58,140.0,138.2,139.2,1687180
2017-10-16 16:00:00,139.43,139.57,138.12,139.09,1453336
2017-10-17 16:00:00,138.91,139.28,138.28,138.65,1446708
2017-10-18 16:00:00,138.23,138.63,137.36,137.42,1585207
2017-10-19 16:00:00,137.45,138.67,136.84,138.62,1351693
2017-10-20 16:00:00,139.17,139.5,138.51,139.49,1368886
2017-10-23 16:00:00,139.75,140.1705,139.05,139.33,1518189
2017-10-24 16:00:00,139.34,139.43,138.05,138.91,1214963
2017-10-25 16:00:00,139.0,141.24,138.66,141.16,2354737
2017-10-26 16:00:00,141.58,142.91,141.34,141.97,1965835
2017-10-27 16:00:00,142.64,143.61,141.99,143.28,2367616
2017-10-30 16:00:00,143.39,143.78,142.13,143.29,2145253
2017-10-31 16:00:00,143.18,143.29,142.155,142.36,2255297
2017-11-01 16:00:00,142.26,143.19,141.47,142.96,2060109
2017-11-02 16:00:00,142.5,143.78,141.93,143.43,1585225
2017-11-03 16:00:00,143.43,144.69,143.1001,144.04,1336018
2017-11-06 16:00:00,143.12,144.21,142.29,143.93,1488755
2017-11-07 16:00:00,144.48,144.48,142.94,143.5,1284431
2017-11-08 16:00:00,143.76,145.0,143.0,144.89,1208312
2017-11-09 16:00:00,144.61,144.73,142.97,143.83,1288788
2017-11-10 16:00:00,143.52,144.07,142.695,143.89,922497
2017-11-13 16:00:00,143.61,144.28,143.16,143.92,1456203
2017-11-14 16:00:00,143.41,145.5,142.77,144.96,1811893
2017-11-15 16:00:00,144.41,145.0,143.675,144.26,1792821
2017-11-16 16:00:00,144.96,147.28,144.6,147.04,2040100
2017-11-17 16:00:00,146.39,146.79,144.75,145.45,2557132
2017-11-20 16:00:00,145.37,146.85,144.88,146.57,1602599
2017-11-21 16:00:00,147.0,148.47,146.41,148.01,1732024
2017-11-22 16:00:00,147.85,148.325,147.03,147.11,1263667
2017-11-24 13:00:00,148.17,148.17,146.8,147.63,601818
2017-11-27 16:00:00,148.0,148.1,147.43,147.5,1352108
2017-11-28 16:00:00,148.01,148.49,146.6468,148.04,1925904
2017-11-29 16:00:00,148.56,148.56,145.23,146.95,1972967
2017-11-30 16:00:00,147.0,148.6,146.8,148.01,2837114
2017-12-01 16:00:00,147.7,148.36,145.745,146.57,1971617
2017-12-04 16:00:00,147.5,147.97,146.08,147.15,2099765
2017-12-05 16:00:00,147.24,148.48,146.785,147.67,1398938
2017-12-06 16:00:00,147.98,148.4799,147.27,148.27,1363413
2017-12-07 16:00:00,148.0,148.66,147.24,148.6,1526446
2017-12-08 16:00:00,149.1,150.59,148.72,150.53,1735968
2017-12-11 16:00:00,150.55,151.14,150.13,150.69,1983301
2017-12-12 16:00:00,152.1,152.8,149.96,152.1,2318318
2017-12-13 16:00:00,151.81,152.75,150.41,151.42,1596836
