,Open,High,Low,Close,Volume
2017-10-25 16:00:00,89.66,90.45,89.23,89.86,2039688
2017-10-26 16:00:00,90.26,90.96,89.86,90.56,1239705
2017-10-27 16:00:00,90.77,91.38,89.96,91.21,1625012
2017-10-30 16:00:00,91.35,91.96,90.89,91.32,1248271
2017-10-31 16:00:00,91.47,91.74,90.75,91.3,1530506
2017-11-01 16:00:00,91.85,92.1104,90.59,90.99,2373950
2017-11-02 16:00:00,90.85,91.47,90.26,90.79,1448167
2017-11-03 16:00:00,90.97,91.83,90.191,91.81,1367407
2017-11-06 16:00:00,92.42,92.96,91.65,92.28,1531256
2017-11-07 16:00:00,92.08,92.57,91.7,91.9,1416911
2017-11-08 16:00:00,91.9,92.4462,91.04,92.0,1617599
2017-11-09 16:00:00,91.67,91.69,87.98,89.7,3143629
2017-11-10 16:00:00,89.54,90.03,88.88,89.59,2736363
2017-11-13 16:00:00,89.36,90.21,89.0,90.03,2428812
2017-11-14 16:00:00,89.79,90.49,89.3963,90.44,2172550
2017-11-15 16:00:00,89.58,89.95,88.67,89.16,2250494
2017-11-16 16:00:00,89.79,90.75,89.41,90.48,2297938
2017-11-17 16:00:00,91.0,91.05,90.24,90.42,2342924
2017-11-20 16:00:00,90.97,93.99,90.73,93.07,6529634
2017-11-21 16:00:00,92.62,92.83,88.88,90.19,6028669
2017-11-22 16:00:00,89.61,90.74,88.43,88.65,4028510
2017-11-24 13:00:00,88.67,89.25,88.01,89.15,1623905
