,Open,High,Low,Close,Volume
2017-09-14 16:00:00,43.26,43.65,43.2,43.45,2917405
2017-09-15 16:00:00,43.27,43.84,43.25,43.84,5604342
2017-09-18 16:00:00,43.85,44.26,43.65,44.09,3219716
2017-09-19 16:00:00,44.11,44.11,43.44,43.89,2759212
2017-09-20 16:00:00,43.88,43.91,43.2,43.32,2805651
2017-09-21 16:00:00,43.33,43.595,43.26,43.29,2301341
2017-09-22 16:00:00,43.34,43.685,43.32,43.38,1576725
2017-09-25 16:00:00,43.47,43.7,43.28,43.57,2050961
2017-09-26 16:00:00,43.62,43.63,43.41,43.52,2222266
2017-09-27 16:00:00,43.51,43.65,42.74,43.05,3234090
2017-09-28 16:00:00,42.36,43.07,42.36,42.75,3006841
2017-09-29 16:00:00,42.54,42.76,42.31,42.51,2358953
2017-10-02 16:00:00,42.52,42.8,42.335,42.62,2411150
2017-10-03 16:00:00,42.67,42.835,42.57,42.72,2271971
2017-10-04 16:00:00,42.77,43.16,42.695,43.03,2202917
2017-10-05 16:00:00,43.07,43.55,43.0301,43.35,2165119
2017-10-06 16:00:00,43.24,43.27,42.89,43.0,2184290
2017-10-09 16:00:00,42.93,43.04,42.555,42.61,2063533
2017-10-10 16:00:00,42.72,43.035,42.64,43.01,2198106
2017-10-11 16:00:00,42.96,43.195,42.95,43.16,113330
2017-10-12 16:00:00,43.23,43.54,43.23,43.44,1771856
2017-10-13 16:00:00,43.76,44.42,43.65,44.0,3327416
2017-10-16 16:00:00,43.97,44.04,43.5345,43.7,2606511
2017-10-17 16:00:00,43.62,43.79,43.4,43.67,1271958
2017-10-18 16:00:00,43.67,43.85,43.29,43.31,1995522
2017-10-19 16:00:00,43.17,43.32,42.88,43.31,2126126
2017-10-20 16:00:00,43.43,43.5,43.26,43.49,2024026
2017-10-23 16:00:00,43.5,43.67,43.38,43.57,2244438
2017-10-24 16:00:00,43.57,43.98,43.54,43.73,2746887
2017-10-25 16:00:00,43.6,43.6,42.9,43.44,2229818
2017-10-26 16:00:00,43.67,43.77,42.98,43.01,3256893
2017-10-27 16:00:00,43.03,43.13,42.58,43.07,2682306
2017-10-30 16:00:00,42.91,43.09,42.595,42.81,3280717
2017-10-31 16:00:00,40.74,41.59,39.95,40.87,8963813
2017-11-01 16:00:00,40.97,41.11,40.08,40.62,7011630
2017-11-02 16:00:00,40.5,40.98,40.09,40.16,3717057
2017-11-03 16:00:00,40.13,40.19,39.65,39.78,3157903
2017-11-06 16:00:00,39.73,39.84,39.095,39.27,2881964
2017-11-07 16:00:00,39.27,39.57,39.22,39.54,4562835
2017-11-08 16:00:00,39.65,39.81,39.54,39.8,3273446
2017-11-09 16:00:00,39.69,40.15,39.51,39.6,3933849
2017-11-10 16:00:00,39.49,39.96,39.45,39.93,2591397
2017-11-13 16:00:00,39.93,40.02,39.7,39.74,2524220
2017-11-14 16:00:00,39.72,40.66,39.7,39.79,4733069
2017-11-15 16:00:00,39.26,39.8,38.59,38.96,3783159
2017-11-16 16:00:00,38.98,39.29,38.65,39.19,3283751
2017-11-17 16:00:00,39.05,39.495,39.05,39.42,2608471
2017-11-20 16:00:00,39.37,39.42,39.095,39.2,2965658
2017-11-21 16:00:00,39.27,39.6,39.26,39.34,2105616
2017-11-22 16:00:00,39.33,39.5,39.16,39.24,1876408
2017-11-24 13:00:00,39.39,39.39,39.1,39.14,722686
2017-11-27 16:00:00,39.16,39.205,38.86,39.07,2453351
2017-11-28 16:00:00,38.99,39.14,38.92,39.09,2101009
2017-11-29 16:00:00,39.3,39.92,39.21,39.77,2094116
2017-11-30 16:00:00,39.86,40.15,39.68,39.88,5802978
2017-12-01 16:00:00,39.96,40.85,39.74,40.83,3913239
2017-12-04 16:00:00,40.92,41.32,40.658,41.2,2661736
2017-12-05 16:00:00,41.36,41.5,40.765,40.84,2950737
2017-12-06 16:00:00,40.93,41.31,40.85,41.22,2704417
2017-12-07 16:00:00,41.27,41.81,41.04,41.31,3667805
2017-12-08 16:00:00,41.33,41.53,41.12,41.51,2396307
2017-12-11 16:00:00,41.4,41.91,41.3,41.9,2604869
2017-12-12 16:00:00,41.77,42.225,41.75,41.77,3834622
2017-12-13 16:00:00,41.69,41.7,39.95,40.05,5374077
