,Open,High,Low,Close,Volume
2017-09-14 16:00:00,221.96,222.01,218.11,218.87,661023
2017-09-15 16:00:00,218.43,219.2131,213.44,216.0,2219803
2017-09-18 16:00:00,216.45,219.77,216.091,217.09,720858
2017-09-19 16:00:00,217.82,217.89,214.91,215.05,517640
2017-09-20 16:00:00,215.05,215.09,209.0,210.43,1004130
2017-09-21 16:00:00,211.3,216.1999,210.57,215.81,522884
2017-09-22 16:00:00,215.1,217.87,215.1,216.76,305208
2017-09-25 16:00:00,217.28,218.145,215.48,217.39,453982
2017-09-26 16:00:00,218.65,220.79,217.75,218.93,674068
2017-09-27 16:00:00,220.46,220.98,217.93,219.86,457603
2017-09-28 16:00:00,219.84,220.86,217.14,220.61,429344
2017-09-29 16:00:00,221.01,226.01,220.98,221.55,600927
2017-10-02 16:00:00,222.0,223.9899,220.031,223.7,413070
2017-10-03 16:00:00,224.0,226.04,221.98,225.75,531083
2017-10-04 16:00:00,226.76,226.83,224.53,225.71,365175
2017-10-05 16:00:00,225.96,227.29,224.43,226.7,413675
2017-10-06 16:00:00,226.26,226.94,225.35,226.22,286358
2017-10-09 16:00:00,226.25,228.025,225.99,226.22,187834
2017-10-10 16:00:00,227.01,228.25,226.23,226.59,267360
2017-10-11 16:00:00,226.48,227.17,226.32,226.885,23512
2017-10-12 16:00:00,223.97,223.97,219.89,220.14,589779
2017-10-13 16:00:00,221.54,234.18,220.85,230.86,953361
2017-10-16 16:00:00,232.26,232.26,226.25,228.77,627225
2017-10-17 16:00:00,228.75,229.95,226.52,226.94,411403
2017-10-18 16:00:00,227.5,231.45,227.5,228.38,581456
2017-10-19 16:00:00,229.0,232.925,215.37,232.8,1322740
2017-10-20 16:00:00,235.36,242.99,235.36,239.37,900838
2017-10-23 16:00:00,240.39,244.43,239.01,239.33,595926
2017-10-24 16:00:00,239.94,240.95,238.91,239.8,531242
2017-10-25 16:00:00,240.02,240.02,233.98,235.82,377410
2017-10-26 16:00:00,236.04,237.8,232.56,232.59,334666
2017-10-27 16:00:00,233.09,235.185,229.29,231.83,391573
2017-10-30 16:00:00,230.55,231.24,224.47,224.47,549339
2017-10-31 16:00:00,224.55,227.91,223.415,223.73,743683
2017-11-01 16:00:00,224.46,226.64,220.59,226.2,481714
2017-11-02 16:00:00,226.89,227.74,222.89,226.24,352869
2017-11-03 16:00:00,226.25,226.39,224.77,225.59,275973
2017-11-06 16:00:00,226.37,232.48,225.94,230.69,443623
2017-11-07 16:00:00,230.4,231.66,228.89,229.72,439237
2017-11-08 16:00:00,229.72,230.67,228.18,229.61,412762
2017-11-09 16:00:00,227.88,228.94,226.0,227.91,319050
2017-11-10 16:00:00,227.68,228.91,224.62,225.45,342930
2017-11-13 16:00:00,223.4,225.27,222.31,224.2,475501
2017-11-14 16:00:00,223.7,226.47,221.09,226.17,562111
2017-11-15 16:00:00,224.9,226.095,218.8,224.59,467625
2017-11-16 16:00:00,225.53,227.505,224.27,225.33,396760
2017-11-17 16:00:00,224.58,226.76,224.19,224.35,269256
2017-11-20 16:00:00,224.35,226.47,223.53,224.67,270894
2017-11-21 16:00:00,219.04,225.825,217.08,223.84,588533
2017-11-22 16:00:00,224.97,226.72,221.46,221.81,302866
2017-11-24 13:00:00,221.84,222.745,221.27,222.02,141389
2017-11-27 16:00:00,221.74,222.81,221.13,221.45,258164
2017-11-28 16:00:00,222.34,225.84,220.49,225.61,443947
2017-11-29 16:00:00,226.88,234.26,225.31,233.21,686620
2017-11-30 16:00:00,235.0,241.97,234.75,239.27,810539
2017-12-01 16:00:00,238.04,239.499,230.94,234.03,657974
2017-12-04 16:00:00,236.26,242.73,234.34,238.17,676454
2017-12-05 16:00:00,238.42,238.42,232.42,232.5,412695
2017-12-06 16:00:00,232.3,232.675,229.4112,229.86,275709
2017-12-07 16:00:00,228.81,234.17,228.81,232.45,364020
2017-12-08 16:00:00,233.71,234.885,231.74,233.05,258433
2017-12-11 16:00:00,233.12,235.595,232.695,234.28,720470
2017-12-12 16:00:00,238.34,238.59,233.69,238.34,825351
2017-12-13 16:00:00,237.5,238.31,233.29,234.0,589058
