,Open,High,Low,Close,Volume
2017-10-25 16:00:00,119.0,120.25,118.05,119.94,1080018
2017-10-26 16:00:00,120.21,121.95,119.46,121.35,903374
2017-10-27 16:00:00,121.61,123.97,121.4,123.58,1523684
2017-10-30 16:00:00,123.04,124.28,121.9,123.91,1610478
2017-10-31 16:00:00,124.28,125.01,123.42,124.96,1840426
2017-11-01 16:00:00,125.63,126.44,123.4,124.78,1622830
2017-11-02 16:00:00,125.5,125.65,123.51,124.72,1736032
2017-11-03 16:00:00,124.5,125.5,124.1101,124.85,1309792
2017-11-06 16:00:00,125.0,125.09,123.19,123.82,1003236
2017-11-07 16:00:00,124.26,124.54,122.61,123.4,828383
2017-11-08 16:00:00,123.49,124.21,123.17,123.84,892522
2017-11-09 16:00:00,122.9,123.09,120.01,122.4,1465512
2017-11-10 16:00:00,121.95,123.32,121.31,123.11,929442
2017-11-13 16:00:00,124.34,125.02,122.685,124.64,1216739
2017-11-14 16:00:00,124.4,124.82,123.16,123.87,1225282
2017-11-15 16:00:00,123.87,125.01,122.44,124.02,1442079
2017-11-16 16:00:00,124.79,127.0,124.64,127.0,1545183
2017-11-17 16:00:00,127.49,127.92,125.87,127.49,1460974
2017-11-20 16:00:00,127.51,128.28,126.11,126.28,1786212
2017-11-21 16:00:00,127.13,128.17,126.97,127.71,1642893
2017-11-22 16:00:00,128.01,128.685,126.835,127.77,1469495
2017-11-24 13:00:00,127.74,129.54,127.65,129.5,1013550
