,Open,High,Low,Close,Volume
2017-10-25 16:00:00,65.18,65.38,64.86,65.1,4016420
2017-10-26 16:00:00,65.43,65.45,64.435,64.85,4041426
2017-10-27 16:00:00,64.76,64.89,63.97,64.55,4020238
2017-10-30 16:00:00,64.01,64.99,64.01,64.78,4030073
2017-10-31 16:00:00,64.68,64.95,64.44,64.61,3191478
2017-11-01 16:00:00,64.92,65.09,64.51,64.66,3027359
2017-11-02 16:00:00,64.58,65.3,64.4,64.98,4032050
2017-11-03 16:00:00,62.09,63.48,61.72,62.0,14417417
2017-11-06 16:00:00,61.8,62.73,61.6,62.49,7611384
2017-11-07 16:00:00,62.62,63.08,61.93,62.13,5968831
2017-11-08 16:00:00,62.12,62.2606,61.55,61.67,4741307
2017-11-09 16:00:00,61.5,62.39,61.31,62.24,4574954
2017-11-10 16:00:00,62.08,62.33,61.91,62.06,4422281
2017-11-13 16:00:00,61.68,62.1,61.6,62.0,3605011
2017-11-14 16:00:00,61.61,61.92,61.26,61.46,6800089
2017-11-15 16:00:00,61.05,61.66,60.92,61.14,4100319
2017-11-16 16:00:00,61.35,61.41,59.95,60.06,5642202
2017-11-17 16:00:00,59.78,60.15,59.411,60.06,5569745
2017-11-20 16:00:00,60.0,60.02,59.3,59.69,6349145
2017-11-21 16:00:00,59.84,59.97,59.52,59.63,4372458
2017-11-22 16:00:00,59.56,59.67,59.23,59.23,3042067
2017-11-24 13:00:00,59.46,59.48,58.98,59.03,1744091
