,Open,High,Low,Close,Volume
2017-09-14 16:00:00,45.31,45.79,45.17,45.76,717048
2017-09-15 16:00:00,45.69,45.85,45.28,45.59,1424581
2017-09-18 16:00:00,45.59,45.77,45.315,45.7,675847
2017-09-19 16:00:00,45.7,45.7,45.14,45.44,973007
2017-09-20 16:00:00,45.5,45.65,45.03,45.22,601857
2017-09-21 16:00:00,45.24,45.41,44.88,44.89,591738
2017-09-22 16:00:00,45.05,45.18,44.68,44.75,400312
2017-09-25 16:00:00,44.82,44.96,44.08,44.54,1281743
2017-09-26 16:00:00,44.5,44.68,44.3,44.33,807647
2017-09-27 16:00:00,43.98,44.13,43.48,43.63,985605
2017-09-28 16:00:00,43.58,43.88,43.5,43.84,464571
2017-09-29 16:00:00,43.66,43.87,43.58,43.86,649928
2017-10-02 16:00:00,43.9,44.05,43.67,43.98,742897
2017-10-03 16:00:00,43.9,44.02,43.5,43.88,998141
2017-10-04 16:00:00,43.91,44.48,43.705,44.45,738040
2017-10-05 16:00:00,44.57,45.0,44.51,44.74,803624
2017-10-06 16:00:00,44.51,44.59,44.11,44.4,1012751
2017-10-09 16:00:00,44.47,44.8,44.32,44.75,527503
2017-10-10 16:00:00,44.81,45.0,44.62,44.69,983038
2017-10-11 16:00:00,44.69,44.94,44.66,44.74,25598
2017-10-12 16:00:00,45.01,45.4,44.95,45.24,787297
2017-10-13 16:00:00,45.51,45.54,44.63,44.66,899280
2017-10-16 16:00:00,44.66,44.77,44.18,44.25,753999
2017-10-17 16:00:00,44.17,44.38,44.05,44.24,802414
2017-10-18 16:00:00,44.19,44.33,43.9,44.19,505376
2017-10-19 16:00:00,44.23,44.25,43.95,44.13,504237
2017-10-20 16:00:00,44.13,44.13,43.885,44.07,516692
2017-10-23 16:00:00,44.11,44.18,43.85,44.11,590722
2017-10-24 16:00:00,44.02,44.22,43.42,43.75,1064328
2017-10-25 16:00:00,43.73,44.04,43.54,43.7,727288
2017-10-26 16:00:00,43.96,44.07,43.19,43.35,1021376
2017-10-27 16:00:00,43.34,44.545,43.34,44.37,1599794
2017-10-30 16:00:00,44.31,44.41,44.035,44.2,954984
2017-10-31 16:00:00,44.26,44.3526,43.72,43.98,1262267
2017-11-01 16:00:00,44.08,44.5,43.8,44.34,1014462
2017-11-02 16:00:00,44.43,44.5,43.4,43.6,981389
2017-11-03 16:00:00,43.31,44.6,43.31,44.22,1061655
2017-11-06 16:00:00,44.85,44.94,44.4,44.74,1331321
2017-11-07 16:00:00,44.74,45.04,44.57,44.9,862166
2017-11-08 16:00:00,44.84,45.45,44.84,45.36,658383
2017-11-09 16:00:00,45.11,45.485,45.11,45.21,694438
2017-11-10 16:00:00,44.94,45.41,44.87,45.13,764801
2017-11-13 16:00:00,45.25,45.6,45.22,45.47,1002545
2017-11-14 16:00:00,45.41,45.64,45.22,45.23,610288
2017-11-15 16:00:00,45.32,45.43,44.55,44.55,847785
2017-11-16 16:00:00,44.23,44.79,43.98,44.69,964801
2017-11-17 16:00:00,44.52,44.75,43.83,44.19,3498245
2017-11-20 16:00:00,44.17,44.31,44.0,44.25,754723
2017-11-21 16:00:00,44.38,45.12,44.38,44.92,1178022
2017-11-22 16:00:00,44.74,44.99,44.35,44.64,606810
2017-11-24 13:00:00,44.86,44.91,44.71,44.75,221812
2017-11-27 16:00:00,44.84,44.86,44.39,44.4,578810
2017-11-28 16:00:00,44.38,44.5399,43.98,44.13,676349
2017-11-29 16:00:00,43.97,44.47,43.7,44.29,748108
2017-11-30 16:00:00,44.3,44.48,43.9,44.09,940222
2017-12-01 16:00:00,44.23,44.48,43.83,43.99,999560
2017-12-04 16:00:00,44.14,44.23,43.89,43.94,989205
2017-12-05 16:00:00,43.97,44.09,43.28,43.39,844588
2017-12-06 16:00:00,43.46,43.62,43.37,43.6,656446
2017-12-07 16:00:00,43.64,43.94,42.95,43.85,826660
2017-12-08 16:00:00,43.94,44.25,43.8,44.13,750932
2017-12-11 16:00:00,44.11,44.27,43.87,44.26,979116
2017-12-12 16:00:00,43.88,44.12,43.59,43.88,1304119
2017-12-13 16:00:00,44.0,44.06,43.71,43.89,767485
