,Open,High,Low,Close,Volume
2017-09-14 16:00:00,60.02,60.19,59.64,60.0,1355932
2017-09-15 16:00:00,59.94,60.56,59.75,60.38,1816704
2017-09-18 16:00:00,60.34,60.62,60.13,60.4,993491
2017-09-19 16:00:00,60.4,60.77,60.29,60.37,820034
2017-09-20 16:00:00,60.52,60.845,60.26,60.72,766132
2017-09-21 16:00:00,60.72,60.83,60.456,60.67,575830
2017-09-22 16:00:00,60.65,61.03,60.507,60.99,785511
2017-09-25 16:00:00,60.91,61.06,60.48,60.88,1026280
2017-09-26 16:00:00,60.82,61.66,60.744,61.48,1183532
2017-09-27 16:00:00,61.87,61.87,61.19,61.63,917378
2017-09-28 16:00:00,61.65,61.75,61.36,61.51,578623
2017-09-29 16:00:00,61.2,61.63,61.13,61.55,798801
2017-10-02 16:00:00,61.68,61.74,60.97,61.69,858914
2017-10-03 16:00:00,61.63,62.07,61.52,62.0,618421
2017-10-04 16:00:00,61.65,61.73,60.87,61.6,602044
2017-10-05 16:00:00,61.6,61.895,61.52,61.8,472013
2017-10-06 16:00:00,61.97,62.12,61.53,61.76,578634
2017-10-09 16:00:00,61.75,61.9,61.45,61.6,578609
2017-10-10 16:00:00,61.56,61.87,61.52,61.87,533228
2017-10-11 16:00:00,61.84,61.85,61.69,61.75,26392
2017-10-12 16:00:00,61.77,62.135,61.75,62.04,470295
2017-10-13 16:00:00,62.0,62.31,61.78,62.02,390961
2017-10-16 16:00:00,62.07,62.21,61.49,62.12,485227
2017-10-17 16:00:00,62.22,62.36,61.71,61.88,603876
2017-10-18 16:00:00,61.98,62.39,61.75,62.13,564102
2017-10-19 16:00:00,62.0,62.64,61.83,62.64,623881
2017-10-20 16:00:00,63.11,63.14,62.75,62.92,558545
2017-10-23 16:00:00,63.02,63.14,62.495,62.96,512773
2017-10-24 16:00:00,62.94,63.2,62.66,62.83,576049
2017-10-25 16:00:00,62.8,62.91,62.21,62.54,538791
2017-10-26 16:00:00,62.74,62.905,62.1,62.25,759352
2017-10-27 16:00:00,62.85,63.2,61.91,62.54,845509
2017-10-30 16:00:00,62.5,62.84,62.14,62.74,758212
2017-10-31 16:00:00,62.57,63.37,62.57,63.33,761534
2017-11-01 16:00:00,63.57,64.05,63.45,63.6,607827
2017-11-02 16:00:00,63.67,64.06,62.75,63.88,919341
2017-11-03 16:00:00,63.59,63.93,63.31,63.69,523641
2017-11-06 16:00:00,63.38,64.24,63.38,64.14,672044
2017-11-07 16:00:00,64.19,64.45,63.43,63.71,794747
2017-11-08 16:00:00,63.63,63.78,63.33,63.53,663153
2017-11-09 16:00:00,63.3,63.77,63.14,63.65,317254
2017-11-10 16:00:00,63.66,64.2,63.36,64.08,590687
2017-11-13 16:00:00,63.98,64.32,63.69,63.94,589604
2017-11-14 16:00:00,63.75,65.12,63.67,65.1,1245817
2017-11-15 16:00:00,65.0,65.44,64.65,65.33,997150
2017-11-16 16:00:00,65.44,65.94,65.34,65.83,1333762
2017-11-17 16:00:00,65.61,66.12,65.49,65.97,1750093
2017-11-20 16:00:00,66.12,66.17,65.67,66.01,1703110
2017-11-21 16:00:00,66.14,67.05,66.0,66.96,1985277
2017-11-22 16:00:00,66.81,67.035,66.45,66.62,3079920
2017-11-24 13:00:00,66.53,66.825,65.39,65.39,624451
2017-11-27 16:00:00,65.31,65.92,65.31,65.71,2632673
2017-11-28 16:00:00,65.83,66.72,65.71,66.63,1187797
2017-11-29 16:00:00,66.8,67.32,66.27,66.42,1299619
2017-11-30 16:00:00,66.57,66.57,65.48,65.83,3083148
2017-12-01 16:00:00,66.17,66.76,64.8,66.57,1823833
2017-12-04 16:00:00,67.13,67.3,66.47,66.58,1491315
2017-12-05 16:00:00,66.62,66.66,65.82,65.82,756858
2017-12-06 16:00:00,66.19,66.38,65.78,65.83,918405
2017-12-07 16:00:00,65.85,66.0,65.14,65.27,1185718
2017-12-08 16:00:00,65.5,65.75,65.16,65.69,814183
2017-12-11 16:00:00,65.71,65.81,65.28,65.48,844707
2017-12-12 16:00:00,64.79,65.63,64.73,64.79,1130550
2017-12-13 16:00:00,65.04,65.04,63.96,64.21,1926122
