,Open,High,Low,Close,Volume
2017-10-25 16:00:00,55.65,56.85,53.84,54.0,10270117
2017-10-26 16:00:00,54.02,54.65,52.88,53.34,3689642
2017-10-27 16:00:00,53.96,54.01,52.29,53.0,2811536
2017-10-30 16:00:00,53.11,53.13,52.15,52.46,2073626
2017-10-31 16:00:00,52.4,52.6,52.2,52.25,1752756
2017-11-01 16:00:00,52.7,53.07,52.34,52.69,1610417
2017-11-02 16:00:00,52.55,52.61,51.79,52.29,1552882
2017-11-03 16:00:00,52.26,53.1,52.0169,53.01,1608695
2017-11-06 16:00:00,53.12,53.76,52.92,53.74,1304839
2017-11-07 16:00:00,54.0,54.02,53.5,53.76,1655749
2017-11-08 16:00:00,53.85,53.93,53.23,53.76,1437890
2017-11-09 16:00:00,53.66,53.87,53.01,53.85,1790258
2017-11-10 16:00:00,53.8,54.32,53.6974,54.26,1976354
2017-11-13 16:00:00,54.11,54.23,53.46,53.52,3014742
2017-11-14 16:00:00,53.43,53.87,53.08,53.75,1682775
2017-11-15 16:00:00,53.5,54.14,53.34,54.01,2435602
2017-11-16 16:00:00,54.21,55.295,53.9153,55.26,2761466
2017-11-17 16:00:00,55.37,55.56,55.18,55.44,3895119
2017-11-20 16:00:00,55.6,55.6,55.0,55.38,1921875
2017-11-21 16:00:00,55.61,55.7,55.35,55.68,1135170
2017-11-22 16:00:00,55.73,56.0,55.515,55.69,1701987
2017-11-24 13:00:00,56.0,56.0,55.59,55.79,435112
