,Open,High,Low,Close,Volume
2017-10-25 16:00:00,139.5,140.44,136.88,138.53,1778664
2017-10-26 16:00:00,139.4,139.759,137.6,139.04,1375894
2017-10-27 16:00:00,139.64,139.97,137.87,139.08,1204760
2017-10-30 16:00:00,139.08,140.17,138.53,139.51,834834
2017-10-31 16:00:00,139.02,140.89,139.02,140.89,1576348
2017-11-01 16:00:00,142.0,142.42,140.85,142.33,907500
2017-11-02 16:00:00,142.5,143.69,135.61,136.91,2363993
2017-11-03 16:00:00,136.55,140.3499,135.25,140.04,1395318
2017-11-06 16:00:00,140.24,142.0,140.14,141.97,951093
2017-11-07 16:00:00,142.0,143.57,141.86,143.13,1560643
2017-11-08 16:00:00,143.53,144.99,142.5,144.58,1750031
2017-11-09 16:00:00,142.11,142.435,136.39,140.84,2589159
2017-11-10 16:00:00,141.02,142.69,140.42,140.62,1056337
2017-11-13 16:00:00,139.54,143.6601,139.52,143.37,949250
2017-11-14 16:00:00,139.52,139.62,136.81,137.65,1715612
2017-11-15 16:00:00,136.0,136.2,131.15,134.54,1987325
2017-11-16 16:00:00,135.5,136.75,134.68,135.33,1915163
2017-11-17 16:00:00,135.92,136.32,134.64,136.21,1441710
2017-11-20 16:00:00,135.475,136.2,135.01,135.4,1009318
2017-11-21 16:00:00,136.29,137.7199,136.05,136.7,958517
2017-11-22 16:00:00,137.75,137.84,135.17,135.25,715372
2017-11-24 13:00:00,135.61,137.51,135.5,137.06,415525
