,Open,High,Low,Close,Volume
2017-10-25 16:00:00,203.0,203.89,200.27,201.75,1106130
2017-10-26 16:00:00,202.59,207.65,199.45,202.98,1933352
2017-10-27 16:00:00,225.64,239.83,223.56,235.94,3295016
2017-10-30 16:00:00,234.35,243.27,233.36,235.57,1407498
2017-10-31 16:00:00,235.1,240.66,235.05,238.98,951743
2017-11-01 16:00:00,243.0,244.6,232.311,234.95,1441566
2017-11-02 16:00:00,235.38,237.95,233.0,233.47,1037612
2017-11-03 16:00:00,233.85,242.55,233.85,241.35,1035508
2017-11-06 16:00:00,244.02,246.83,238.59,244.5,1063586
2017-11-07 16:00:00,245.0,246.84,243.66,246.46,613531
2017-11-08 16:00:00,246.0,253.65,246.0,252.74,1080490
2017-11-09 16:00:00,251.8,254.19,245.531,249.63,1314724
2017-11-10 16:00:00,249.38,251.015,246.26,249.46,927592
2017-11-13 16:00:00,249.29,257.6,248.29,253.73,952440
2017-11-14 16:00:00,251.78,256.1,251.0,254.02,948700
2017-11-15 16:00:00,252.24,253.64,243.0,249.19,1465138
2017-11-16 16:00:00,251.76,255.98,249.175,254.92,1048930
2017-11-17 16:00:00,254.74,255.774,251.5,253.89,666787
2017-11-20 16:00:00,254.64,258.61,253.67,255.51,718196
2017-11-21 16:00:00,257.67,258.875,252.03,256.43,1303833
2017-11-22 16:00:00,255.41,257.35,251.57,254.38,804953
2017-11-24 13:00:00,254.32,255.729,253.44,254.76,285873
