,Open,High,Low,Close,Volume
2017-10-25 16:00:00,12.95,13.13,12.29,12.33,166762120
2017-10-26 16:00:00,12.45,12.46,12.0,12.005,87625437
2017-10-27 16:00:00,12.17,12.19,11.35,11.84,115650373
2017-10-30 16:00:00,11.255,11.42,10.65,10.89,137785101
2017-10-31 16:00:00,10.76,11.31,10.69,10.985,78600023
2017-11-01 16:00:00,11.25,11.29,10.72,10.8,66875483
2017-11-02 16:00:00,10.87,10.99,10.66,10.85,47942464
2017-11-03 16:00:00,10.95,11.13,10.82,11.12,44264291
2017-11-06 16:00:00,12.04,12.09,11.64,11.93,96349758
2017-11-07 16:00:00,11.94,12.27,11.92,12.05,67900203
2017-11-08 16:00:00,11.94,11.95,11.51,11.71,59065041
2017-11-09 16:00:00,11.25,11.35,11.03,11.12,76821154
2017-11-10 16:00:00,11.22,11.43,11.115,11.26,50209909
2017-11-13 16:00:00,11.18,11.2,10.92,11.09,54068315
2017-11-14 16:00:00,11.03,11.26,11.0,11.12,37245039
2017-11-15 16:00:00,11.01,11.13,10.77,11.07,33524701
2017-11-16 16:00:00,11.13,11.32,11.13,11.25,31800408
2017-11-17 16:00:00,11.3,11.75,11.28,11.38,56775579
2017-11-20 16:00:00,11.47,11.505,11.19,11.34,35960204
2017-11-21 16:00:00,11.421,11.49,11.24,11.4,31881681
2017-11-22 16:00:00,11.41,11.49,11.3,11.37,23816482
2017-11-24 13:00:00,11.38,11.42,11.3,11.38,11035758
