,Open,High,Low,Close,Volume
2017-10-25 16:00:00,68.7,69.05,67.83,68.51,987070
2017-10-26 16:00:00,68.93,69.31,68.525,69.23,843304
2017-10-27 16:00:00,69.1,69.42,68.75,69.19,1006295
2017-10-30 16:00:00,70.26,70.26,67.61,67.63,1634536
2017-10-31 16:00:00,67.75,67.98,67.3,67.49,1406438
2017-11-01 16:00:00,67.94,67.97,66.92,67.25,1861066
2017-11-02 16:00:00,67.79,68.51,66.965,68.38,3550267
2017-11-03 16:00:00,68.78,69.11,67.49,67.66,2380554
2017-11-06 16:00:00,67.75,68.76,67.62,68.55,1500007
2017-11-07 16:00:00,68.59,68.89,68.28,68.56,1351964
2017-11-08 16:00:00,68.25,68.6,67.53,68.05,1322194
2017-11-09 16:00:00,67.7,68.6,67.6,68.01,1284022
2017-11-10 16:00:00,67.85,68.34,67.68,68.23,1039719
2017-11-13 16:00:00,68.13,68.99,68.03,68.89,1953546
2017-11-14 16:00:00,68.63,69.5,68.63,69.49,1927355
2017-11-15 16:00:00,69.01,69.44,68.64,68.82,1813790
2017-11-16 16:00:00,69.23,70.43,69.0,70.12,1985086
2017-11-17 16:00:00,69.95,70.43,69.69,70.26,2939399
2017-11-20 16:00:00,70.38,70.95,70.21,70.66,1761841
2017-11-21 16:00:00,70.81,71.24,70.2,70.35,1473659
2017-11-22 16:00:00,70.43,70.565,70.05,70.24,1000225
2017-11-24 13:00:00,70.32,70.54,70.1,70.24,280798
