,Open,High,Low,Close,Volume
2017-10-25 16:00:00,195.72,196.81,187.68,189.19,422806
2017-10-26 16:00:00,189.74,191.23,188.91,190.99,306540
2017-10-27 16:00:00,190.35,191.9,189.46,190.68,296195
2017-10-30 16:00:00,188.5,188.5,183.86,185.5,393447
2017-10-31 16:00:00,184.67,187.59,184.25,186.5,517073
2017-11-01 16:00:00,187.85,188.57,185.68,186.11,303284
2017-11-02 16:00:00,185.67,186.98,183.89,185.34,237274
2017-11-03 16:00:00,184.57,185.56,183.455,185.35,384323
2017-11-06 16:00:00,185.33,186.97,184.67,186.06,226784
2017-11-07 16:00:00,186.06,187.79,184.49,185.54,239681
2017-11-08 16:00:00,185.07,186.5,184.18,185.95,238045
2017-11-09 16:00:00,184.42,186.63,184.01,185.11,369251
2017-11-10 16:00:00,185.55,186.58,183.6,184.36,239455
2017-11-13 16:00:00,182.86,183.35,181.3337,182.86,282560
2017-11-14 16:00:00,181.82,183.36,180.42,183.15,467628
2017-11-15 16:00:00,180.92,185.2299,178.87,184.77,353128
2017-11-16 16:00:00,186.0,187.15,185.05,185.49,243759
2017-11-17 16:00:00,184.54,187.57,184.1,186.09,321877
2017-11-20 16:00:00,186.87,188.35,186.15,186.68,203541
2017-11-21 16:00:00,187.88,190.35,187.005,190.33,270181
2017-11-22 16:00:00,190.54,190.945,189.87,189.99,148790
2017-11-24 13:00:00,190.78,190.82,189.09,190.37,85793
