,Open,High,Low,Close,Volume
2017-09-14 16:00:00,103.1,103.17,101.23,101.55,1155004
2017-09-15 16:00:00,101.6,102.63,101.01,102.42,2627348
2017-09-18 16:00:00,102.62,103.55,102.45,103.15,1220809
2017-09-19 16:00:00,103.25,104.76,102.6188,104.55,1161370
2017-09-20 16:00:00,104.84,105.63,103.49,103.7,1623834
2017-09-21 16:00:00,104.14,104.53,103.53,103.81,1164965
2017-09-22 16:00:00,103.99,104.5,103.66,104.0,845764
2017-09-25 16:00:00,104.06,105.49,103.815,105.28,1510173
2017-09-26 16:00:00,105.12,105.6,103.71,103.76,1116501
2017-09-27 16:00:00,103.76,103.8855,101.79,102.44,2060079
2017-09-28 16:00:00,101.84,102.65,101.02,102.48,1765555
2017-09-29 16:00:00,102.54,104.57,102.39,103.15,1385799
2017-10-02 16:00:00,103.0,103.89,102.42,103.75,1295837
2017-10-03 16:00:00,104.34,105.33,103.92,104.76,1398804
2017-10-04 16:00:00,105.07,105.18,104.16,105.12,957994
2017-10-05 16:00:00,105.22,106.31,104.19,105.36,1457903
2017-10-06 16:00:00,104.45,106.35,104.45,105.99,1185862
2017-10-09 16:00:00,105.88,107.71,105.6,106.66,1449544
2017-10-10 16:00:00,107.13,107.16,106.1,106.33,1125265
2017-10-11 16:00:00,106.12,106.59,105.95,106.0044,69714
2017-10-12 16:00:00,106.14,106.35,104.91,105.68,1010757
2017-10-13 16:00:00,106.16,106.16,105.0,105.37,819490
2017-10-16 16:00:00,104.62,105.12,103.32,103.82,1466804
2017-10-17 16:00:00,104.31,105.3994,103.97,104.45,1013211
2017-10-18 16:00:00,104.2,104.62,103.19,104.32,1005483
2017-10-19 16:00:00,103.68,105.0399,103.48,104.95,768591
2017-10-20 16:00:00,105.34,106.56,105.0,106.56,1054595
2017-10-23 16:00:00,106.84,106.84,105.68,105.85,942404
2017-10-24 16:00:00,106.26,106.9,105.83,106.75,1090071
2017-10-25 16:00:00,105.5,106.86,104.85,104.9,841751
2017-10-26 16:00:00,105.29,105.29,103.76,104.75,1053884
2017-10-27 16:00:00,104.76,105.74,104.18,105.74,1164120
2017-10-30 16:00:00,106.04,106.48,104.87,104.92,872173
2017-10-31 16:00:00,105.16,106.93,104.87,106.24,1090370
2017-11-01 16:00:00,107.12,109.27,106.86,109.21,1171751
2017-11-02 16:00:00,109.32,111.27,108.51,109.73,1490181
2017-11-03 16:00:00,110.39,110.62,109.18,110.17,1149709
2017-11-06 16:00:00,110.68,112.21,110.04,111.57,1253707
2017-11-07 16:00:00,111.57,111.7924,110.45,111.28,887266
2017-11-08 16:00:00,110.82,111.36,110.12,111.14,988807
2017-11-09 16:00:00,109.62,109.89,103.44,107.0,2954862
2017-11-10 16:00:00,107.44,107.59,106.46,107.2,1468266
2017-11-13 16:00:00,107.2,107.89,105.65,106.15,1253266
2017-11-14 16:00:00,105.96,106.54,104.89,105.69,1239369
2017-11-15 16:00:00,105.18,105.18,103.12,103.83,1596123
2017-11-16 16:00:00,103.95,105.5,103.29,104.79,1198554
2017-11-17 16:00:00,104.65,105.56,104.47,105.34,585079
2017-11-20 16:00:00,105.51,105.55,104.27,105.11,1183597
2017-11-21 16:00:00,104.94,106.27,104.94,105.34,901684
2017-11-22 16:00:00,105.65,105.65,103.02,103.95,1407898
2017-11-24 13:00:00,104.01,104.28,103.53,104.0,456926
2017-11-27 16:00:00,104.29,104.29,103.0,103.55,1152674
2017-11-28 16:00:00,104.28,105.71,103.9,105.46,1044739
2017-11-29 16:00:00,104.54,105.37,103.87,105.15,1209187
2017-11-30 16:00:00,105.44,105.9799,104.43,105.47,1847115
2017-12-01 16:00:00,105.98,106.2,102.29,104.43,1539150
2017-12-04 16:00:00,104.72,108.92,104.47,106.97,2057659
2017-12-05 16:00:00,107.22,110.49,107.0,107.58,2460783
2017-12-06 16:00:00,107.3,109.19,107.0,107.74,1578680
2017-12-07 16:00:00,107.5,109.43,107.29,108.92,1118637
2017-12-08 16:00:00,111.04,111.56,108.37,111.04,1714009
2017-12-11 16:00:00,111.23,112.13,110.69,110.96,1174735
2017-12-12 16:00:00,110.4,111.75,110.27,110.4,1013254
2017-12-13 16:00:00,110.54,111.29,108.84,108.9,1866265
