,Open,High,Low,Close,Volume
2017-10-25 16:00:00,200.0,209.74,199.75,205.71,3741164
2017-10-26 16:00:00,206.0,209.91,205.2404,206.91,2114835
2017-10-27 16:00:00,207.0,212.0,205.935,211.34,2219506
2017-10-30 16:00:00,211.0,212.07,208.64,209.46,1442871
2017-10-31 16:00:00,209.66,210.0,206.98,209.21,1266356
2017-11-01 16:00:00,210.03,210.98,208.67,209.53,1857757
2017-11-02 16:00:00,210.2,211.36,208.4,210.59,1087549
2017-11-03 16:00:00,210.66,213.45,209.25,211.8,1177204
2017-11-06 16:00:00,213.6,220.0,213.17,216.3,2516193
2017-11-07 16:00:00,217.42,220.75,214.48,217.47,1681881
2017-11-08 16:00:00,216.31,218.88,215.17,216.87,1149394
2017-11-09 16:00:00,215.75,217.11,213.29,215.98,919671
2017-11-10 16:00:00,216.13,218.98,214.95,218.27,1835381
2017-11-13 16:00:00,217.18,219.81,216.79,218.46,2432975
2017-11-14 16:00:00,218.0,219.49,215.935,218.45,1316113
2017-11-15 16:00:00,217.56,219.14,216.92,218.2,1190714
2017-11-16 16:00:00,217.71,222.21,217.71,220.89,1459629
2017-11-17 16:00:00,220.57,222.24,220.15,220.83,1204231
2017-11-20 16:00:00,221.0,221.63,218.01,219.5,1304107
2017-11-21 16:00:00,220.88,221.65,219.29,220.02,1559539
2017-11-22 16:00:00,219.86,221.03,219.28,220.42,1215697
2017-11-24 13:00:00,220.67,221.47,219.85,220.39,443214
