,Open,High,Low,Close,Volume
2017-10-25 16:00:00,61.26,61.2898,58.21,59.11,2337532
2017-10-26 16:00:00,59.52,59.91,59.12,59.67,1451133
2017-10-27 16:00:00,59.71,59.8179,58.85,59.6,1025761
2017-10-30 16:00:00,59.46,59.53,58.68,59.18,932816
2017-10-31 16:00:00,59.36,59.68,59.13,59.2,1324640
2017-11-01 16:00:00,59.69,59.97,59.38,59.92,1276614
2017-11-02 16:00:00,59.92,60.56,59.515,60.08,1649882
2017-11-03 16:00:00,59.94,60.42,59.43,59.54,672146
2017-11-06 16:00:00,59.4,59.89,59.32,59.67,827831
2017-11-07 16:00:00,59.67,59.8254,59.09,59.5,754766
2017-11-08 16:00:00,59.26,59.82,59.04,59.57,669619
2017-11-09 16:00:00,58.95,59.24,58.2905,58.67,672120
2017-11-10 16:00:00,58.36,58.76,58.27,58.56,657542
2017-11-13 16:00:00,58.39,59.0,58.28,58.92,536030
2017-11-14 16:00:00,58.79,59.28,58.58,58.82,768700
2017-11-15 16:00:00,58.56,58.82,58.28,58.41,675892
2017-11-16 16:00:00,58.54,59.43,58.54,59.03,838168
2017-11-17 16:00:00,58.79,59.3199,58.54,58.89,577872
2017-11-20 16:00:00,59.01,59.61,59.01,59.49,632504
2017-11-21 16:00:00,59.66,61.11,59.6,60.77,1942509
2017-11-22 16:00:00,60.76,60.96,60.44,60.86,1211851
2017-11-24 13:00:00,60.91,60.98,60.385,60.58,429368
