,Open,High,Low,Close,Volume
2017-09-14 16:00:00,42.02,42.82,41.8,42.22,4117586
2017-09-15 16:00:00,42.21,42.54,42.06,42.52,3101582
2017-09-18 16:00:00,42.33,42.73,41.97,42.3,2550319
2017-09-19 16:00:00,42.3,42.3723,41.61,41.75,1865569
2017-09-20 16:00:00,41.84,43.08,41.82,43.05,3033310
2017-09-21 16:00:00,43.06,43.425,42.59,43.36,2566780
2017-09-22 16:00:00,43.21,43.66,43.03,43.57,1920889
2017-09-25 16:00:00,43.87,45.5,43.83,45.06,4220256
2017-09-26 16:00:00,44.71,46.17,44.66,45.96,4365457
2017-09-27 16:00:00,46.15,46.44,45.37,46.26,2350751
2017-09-28 16:00:00,46.38,46.94,45.39,45.8,3362178
2017-09-29 16:00:00,45.5,45.81,45.18,45.8,2051421
2017-10-02 16:00:00,45.15,45.84,44.33,45.72,2234891
2017-10-03 16:00:00,45.75,45.94,45.17,45.44,1637370
2017-10-04 16:00:00,45.46,45.681,44.75,45.14,4591261
2017-10-05 16:00:00,45.19,45.96,45.05,45.82,2118536
2017-10-06 16:00:00,45.25,45.73,44.67,45.17,2548401
2017-10-09 16:00:00,45.34,45.91,44.9,45.85,3278533
2017-10-10 16:00:00,45.04,45.26,42.41,42.46,10110658
2017-10-11 16:00:00,42.55,42.76,41.95,42.19,633275
2017-10-12 16:00:00,41.51,41.74,40.36,41.41,6136691
2017-10-13 16:00:00,42.04,42.079,41.1291,41.6,3019672
2017-10-16 16:00:00,42.0,42.77,41.7,42.73,4190807
2017-10-17 16:00:00,42.57,43.16,42.19,42.76,3392743
2017-10-18 16:00:00,42.8,43.61,42.52,42.65,4142476
2017-10-19 16:00:00,42.1,42.95,42.02,42.15,3679922
2017-10-20 16:00:00,42.05,42.15,41.47,41.53,4431635
2017-10-23 16:00:00,41.56,41.8598,40.28,40.3,5102317
2017-10-24 16:00:00,40.47,40.819,39.8001,40.14,5513472
2017-10-25 16:00:00,39.88,39.99,38.97,39.51,3969171
2017-10-26 16:00:00,39.56,40.0,38.895,39.59,3114453
2017-10-27 16:00:00,39.18,40.9737,39.11,40.74,3625220
2017-10-30 16:00:00,40.82,41.5,40.498,40.81,2323946
2017-10-31 16:00:00,40.8,41.53,40.5205,41.37,2073615
2017-11-01 16:00:00,41.77,42.69,41.52,42.23,3522731
2017-11-02 16:00:00,41.64,43.48,41.38,41.68,3534397
2017-11-03 16:00:00,41.77,43.2,41.69,42.75,3123909
2017-11-06 16:00:00,43.12,45.75,43.01,45.74,5452222
2017-11-07 16:00:00,45.92,46.47,45.08,45.19,3761123
2017-11-08 16:00:00,45.11,45.29,44.11,44.51,4365496
2017-11-09 16:00:00,44.32,45.63,44.14,45.24,3444128
2017-11-10 16:00:00,45.21,45.3552,44.0301,44.13,2237662
2017-11-13 16:00:00,44.0,44.0,43.25,43.49,1969887
2017-11-14 16:00:00,43.05,43.19,41.85,41.88,2451015
2017-11-15 16:00:00,41.32,41.585,40.72,41.03,2855610
2017-11-16 16:00:00,41.11,41.24,40.2,40.49,2451554
2017-11-17 16:00:00,40.85,41.36,40.66,41.18,2113749
2017-11-20 16:00:00,40.97,41.55,40.701,41.07,2707347
2017-11-21 16:00:00,41.33,41.9,41.24,41.44,2017697
2017-11-22 16:00:00,41.93,42.38,41.53,41.54,2094110
2017-11-24 13:00:00,41.77,41.93,41.11,41.14,1103677
2017-11-27 16:00:00,40.97,41.18,39.74,39.86,2944077
2017-11-28 16:00:00,39.9,40.34,39.52,40.27,2118255
2017-11-29 16:00:00,40.12,41.1,40.09,40.74,1787977
2017-11-30 16:00:00,41.01,42.09,41.0,41.83,3914022
2017-12-01 16:00:00,42.28,44.7689,42.24,44.22,5402301
2017-12-04 16:00:00,43.99,44.75,43.12,43.21,2758868
2017-12-05 16:00:00,43.04,43.24,42.03,42.15,1871119
2017-12-06 16:00:00,41.82,41.87,40.47,40.57,2658372
2017-12-07 16:00:00,40.55,41.2354,40.43,40.63,2200419
2017-12-08 16:00:00,41.128,41.4,40.59,40.7,3421798
2017-12-11 16:00:00,40.91,42.15,40.08,40.19,5196407
2017-12-12 16:00:00,39.72,40.79,39.32,39.72,4167424
2017-12-13 16:00:00,39.83,40.39,39.45,39.8,3784688
