,Open,High,Low,Close,Volume
2017-10-25 16:00:00,47.84,48.13,47.35,47.68,5822257
2017-10-26 16:00:00,47.68,48.0,46.745,47.69,5328859
2017-10-27 16:00:00,47.29,48.83,47.06,48.81,6509190
2017-10-30 16:00:00,49.07,49.4255,48.52,48.69,5775314
2017-10-31 16:00:00,48.23,49.49,48.01,49.37,6857218
2017-11-01 16:00:00,49.64,51.02,49.16,50.14,9065661
2017-11-02 16:00:00,49.86,50.36,48.82,49.39,6414901
2017-11-03 16:00:00,49.32,49.88,49.14,49.51,6537127
2017-11-06 16:00:00,49.8,51.84,49.56,51.83,7401170
2017-11-07 16:00:00,52.01,52.17,50.6,51.08,6931558
2017-11-08 16:00:00,51.0,51.59,50.35,51.16,4630144
2017-11-09 16:00:00,51.02,51.83,50.845,51.4,4230132
2017-11-10 16:00:00,51.22,51.47,50.35,51.11,5004669
2017-11-13 16:00:00,51.05,51.55,49.87,50.23,11018139
2017-11-14 16:00:00,49.71,49.84,47.88,48.05,8113178
2017-11-15 16:00:00,47.71,48.08,47.02,47.62,7143900
2017-11-16 16:00:00,47.59,48.13,47.01,47.5,5820373
2017-11-17 16:00:00,47.89,48.33,47.735,48.15,6102798
2017-11-20 16:00:00,47.86,48.57,47.42,48.31,3632411
2017-11-21 16:00:00,48.46,48.5613,47.725,48.02,5259763
2017-11-22 16:00:00,48.39,48.57,48.13,48.35,5948708
2017-11-24 13:00:00,48.64,48.7,47.95,48.11,2079081
