,Open,High,Low,Close,Volume
2017-10-25 16:00:00,87.57,88.19,86.51,87.25,1828997
2017-10-26 16:00:00,87.25,87.27,85.5,85.5,1808283
2017-10-27 16:00:00,85.5,86.6,85.45,86.6,1259523
2017-10-30 16:00:00,86.43,86.56,85.65,85.76,891315
2017-10-31 16:00:00,86.12,87.14,85.96,87.0,1223997
2017-11-01 16:00:00,87.55,87.83,86.74,86.87,1197390
2017-11-02 16:00:00,87.0,87.89,86.9,87.59,1366012
2017-11-03 16:00:00,87.62,87.805,86.77,87.33,948715
2017-11-06 16:00:00,87.3,87.64,87.11,87.24,1143625
2017-11-07 16:00:00,87.18,87.7,87.11,87.37,919337
2017-11-08 16:00:00,87.34,87.85,87.11,87.74,839975
2017-11-09 16:00:00,87.18,87.39,86.1446,86.72,837917
2017-11-10 16:00:00,86.68,88.36,86.58,88.21,1359118
2017-11-13 16:00:00,88.0,88.62,87.86,88.48,1054773
2017-11-14 16:00:00,88.28,89.16,88.08,88.98,1088555
2017-11-15 16:00:00,88.72,88.87,88.18,88.41,1144082
2017-11-16 16:00:00,88.72,89.69,88.593,89.31,1015894
2017-11-17 16:00:00,89.11,89.725,88.9096,89.52,1052363
2017-11-20 16:00:00,89.73,90.12,89.53,89.88,825149
2017-11-21 16:00:00,90.73,91.14,90.07,90.84,1487066
2017-11-22 16:00:00,90.84,90.94,89.88,89.9,1229311
2017-11-24 13:00:00,89.99,91.09,89.9,90.91,641972
