,Open,High,Low,Close,Volume
2017-10-25 16:00:00,62.28,62.6,61.19,61.81,5419567
2017-10-26 16:00:00,62.27,62.59,61.88,62.06,4846358
2017-10-27 16:00:00,62.36,64.27,62.36,64.14,6174560
2017-10-30 16:00:00,64.33,65.58,64.27,65.3,6567686
2017-10-31 16:00:00,65.34,66.03,64.86,65.49,6876928
2017-11-01 16:00:00,65.69,65.78,64.25,65.33,5139097
2017-11-02 16:00:00,65.41,65.84,64.825,65.45,6129373
2017-11-03 16:00:00,66.87,67.03,62.11,63.2,18879318
2017-11-06 16:00:00,63.41,63.72,60.71,60.87,12947182
2017-11-07 16:00:00,61.09,61.35,60.1,60.96,7597791
2017-11-08 16:00:00,62.5,64.9,62.15,64.55,12604699
2017-11-09 16:00:00,63.49,64.18,62.59,63.31,5421680
2017-11-10 16:00:00,62.87,63.07,62.25,63.0,4858850
2017-11-13 16:00:00,62.72,63.97,62.67,63.62,3036793
2017-11-14 16:00:00,63.37,64.4,62.79,64.03,4562874
2017-11-15 16:00:00,63.43,63.67,62.5,62.89,4071093
2017-11-16 16:00:00,63.13,64.41,63.04,64.13,4588967
2017-11-17 16:00:00,64.0,64.44,63.18,64.1,4213442
2017-11-20 16:00:00,63.93,64.18,63.28,63.93,3144423
2017-11-21 16:00:00,64.49,64.95,64.1901,64.5,3749386
2017-11-22 16:00:00,64.91,66.31,64.89,65.14,5728873
2017-11-24 13:00:00,65.18,66.14,65.12,66.03,1644821
