,Open,High,Low,Close,Volume
2017-10-25 16:00:00,179.71,181.16,179.305,180.48,539186
2017-10-26 16:00:00,181.4,181.4,179.81,180.66,537642
2017-10-27 16:00:00,180.34,182.1,180.1,181.65,452871
2017-10-30 16:00:00,181.22,182.16,180.6,181.89,555261
2017-10-31 16:00:00,180.65,183.52,177.94,181.33,661462
2017-11-01 16:00:00,181.33,183.54,180.76,183.4,609878
2017-11-02 16:00:00,183.44,183.86,178.72,180.35,723836
2017-11-03 16:00:00,179.52,182.85,178.58,181.97,492219
2017-11-06 16:00:00,182.41,184.83,182.41,183.39,490092
2017-11-07 16:00:00,183.61,184.95,182.37,183.76,521525
2017-11-08 16:00:00,183.66,186.79,183.185,186.69,605457
2017-11-09 16:00:00,186.335,188.39,186.08,187.47,628009
2017-11-10 16:00:00,187.09,188.91,186.55,187.16,460752
2017-11-13 16:00:00,187.33,188.64,186.54,188.11,400569
2017-11-14 16:00:00,188.07,188.25,186.48,187.51,757372
2017-11-15 16:00:00,187.55,188.075,184.5,184.69,575986
2017-11-16 16:00:00,184.98,186.88,184.34,186.09,751982
2017-11-17 16:00:00,186.09,186.09,183.809,184.37,472129
2017-11-20 16:00:00,184.5,184.655,183.655,183.94,415785
2017-11-21 16:00:00,184.32,185.09,183.715,185.02,455628
2017-11-22 16:00:00,185.43,185.43,183.56,184.6,325244
2017-11-24 13:00:00,184.88,185.13,184.34,184.63,202135
