,Open,High,Low,Close,Volume
2017-10-25 16:00:00,103.79,104.5,100.69,104.05,981370
2017-10-26 16:00:00,103.5,105.71,103.4,104.86,815215
2017-10-27 16:00:00,105.05,106.24,103.931,106.11,692252
2017-10-30 16:00:00,106.15,106.19,104.755,105.32,645661
2017-10-31 16:00:00,105.17,106.56,105.1,106.17,747552
2017-11-01 16:00:00,106.71,107.41,105.57,107.03,736409
2017-11-02 16:00:00,107.19,108.58,106.62,108.44,720435
2017-11-03 16:00:00,108.4,108.99,108.01,108.09,598231
2017-11-06 16:00:00,107.87,108.25,106.5,107.07,506225
2017-11-07 16:00:00,106.98,107.79,106.85,107.04,367116
2017-11-08 16:00:00,107.18,108.27,107.1,107.75,615369
2017-11-09 16:00:00,107.16,107.51,105.16,105.76,809312
2017-11-10 16:00:00,105.6,105.78,104.85,105.19,585207
2017-11-13 16:00:00,104.89,108.0,104.51,107.94,735805
2017-11-14 16:00:00,107.52,108.67,107.1,108.17,480295
2017-11-15 16:00:00,108.17,108.52,107.075,107.7,500361
2017-11-16 16:00:00,107.89,108.58,107.56,108.25,667076
2017-11-17 16:00:00,107.87,108.64,107.31,108.29,600693
2017-11-20 16:00:00,110.0,111.31,109.57,110.7,946145
2017-11-21 16:00:00,111.2,111.83,110.0,110.42,805280
2017-11-22 16:00:00,110.56,111.1,109.68,111.1,628258
2017-11-24 13:00:00,111.13,111.75,110.9,111.7,282025
