,Open,High,Low,Close,Volume
2017-10-25 16:00:00,86.84,87.0128,85.82,86.93,931491
2017-10-26 16:00:00,87.25,88.155,87.2,87.49,779060
2017-10-27 16:00:00,87.21,88.2,87.18,87.67,965519
2017-10-30 16:00:00,87.68,87.93,87.528,87.76,855294
2017-10-31 16:00:00,87.54,87.99,87.43,87.76,641256
2017-11-01 16:00:00,88.0,88.05,87.04,87.21,831858
2017-11-02 16:00:00,87.99,90.22,87.74,89.45,1430309
2017-11-03 16:00:00,88.6,89.17,88.03,88.76,951786
2017-11-06 16:00:00,88.71,89.21,88.36,88.61,733676
2017-11-07 16:00:00,88.86,90.13,88.24,90.0,725153
2017-11-08 16:00:00,89.85,90.485,89.42,90.24,843607
2017-11-09 16:00:00,89.74,90.4,88.71,89.31,964973
2017-11-10 16:00:00,89.05,89.335,88.36,88.74,693393
2017-11-13 16:00:00,88.66,89.78,88.6,89.52,682413
2017-11-14 16:00:00,89.36,90.76,89.28,90.71,690125
2017-11-15 16:00:00,90.82,91.39,89.78,89.82,1085877
2017-11-16 16:00:00,89.92,89.99,89.3,89.69,754388
2017-11-17 16:00:00,89.49,89.74,88.6825,89.02,2047630
2017-11-20 16:00:00,89.07,89.28,88.1775,88.38,1081653
2017-11-21 16:00:00,88.5,89.06,88.33,88.58,730213
2017-11-22 16:00:00,88.5,88.95,88.11,88.66,646638
2017-11-24 13:00:00,88.8,89.26,88.58,88.74,198417
