,Open,High,Low,Close,Volume
2017-10-25 16:00:00,159.12,159.12,155.22,156.39,1280245
2017-10-26 16:00:00,157.18,161.21,155.01,159.21,931474
2017-10-27 16:00:00,159.1,159.48,155.72,158.69,557875
2017-10-30 16:00:00,157.95,166.65,157.395,165.48,796924
2017-10-31 16:00:00,165.48,169.75,165.345,167.2,693287
2017-11-01 16:00:00,167.89,168.21,164.87,165.72,674245
2017-11-02 16:00:00,166.0,166.57,159.82,161.23,617288
2017-11-03 16:00:00,161.17,162.99,157.94,162.07,591839
2017-11-06 16:00:00,162.23,166.84,162.08,166.07,360158
2017-11-07 16:00:00,165.86,165.86,159.56,160.03,574272
2017-11-08 16:00:00,159.73,160.41,157.37,158.27,804842
2017-11-09 16:00:00,157.12,160.98,157.03,160.08,282450
2017-11-10 16:00:00,160.0,160.75,159.14,160.18,242317
2017-11-13 16:00:00,159.55,164.365,159.11,163.53,466855
2017-11-14 16:00:00,162.24,165.29,162.1201,164.31,661902
2017-11-15 16:00:00,163.26,164.69,160.83,163.34,317251
2017-11-16 16:00:00,164.1,165.4,163.38,164.36,257901
2017-11-17 16:00:00,163.37,165.07,161.135,161.82,363792
2017-11-20 16:00:00,162.4,163.94,161.275,162.18,306049
2017-11-21 16:00:00,162.02,163.29,160.58,162.47,213977
2017-11-22 16:00:00,163.31,163.64,160.92,161.49,389358
2017-11-24 13:00:00,161.68,161.68,157.76,157.99,240114
