,Open,High,Low,Close,Volume
2017-10-25 16:00:00,586.05,587.88,578.0,587.4,280074
2017-10-26 16:00:00,575.8,596.65,560.82,590.89,1417358
2017-10-27 16:00:00,589.37,592.9,577.91,583.17,490714
2017-10-30 16:00:00,583.27,591.54,581.22,590.15,380139
2017-10-31 16:00:00,591.25,593.43,587.7,589.5,189529
2017-11-01 16:00:00,592.94,594.83,579.6,584.88,357093
2017-11-02 16:00:00,583.52,603.41,576.13,602.7,420864
2017-11-03 16:00:00,601.12,611.43,597.74,606.41,373539
2017-11-06 16:00:00,605.91,613.0,602.06,607.0,285368
2017-11-07 16:00:00,606.2,609.88,598.835,603.56,215570
2017-11-08 16:00:00,603.32,609.4,595.44,596.03,292251
2017-11-09 16:00:00,595.92,606.77,591.51,605.97,437142
2017-11-10 16:00:00,604.22,607.79,594.78,598.06,447849
2017-11-13 16:00:00,598.18,600.56,588.56,595.26,359984
2017-11-14 16:00:00,602.15,633.24,602.15,607.63,692393
2017-11-15 16:00:00,601.33,611.5,601.33,609.14,356307
2017-11-16 16:00:00,609.24,619.7499,606.57,618.59,286105
2017-11-17 16:00:00,622.28,630.83,618.11,629.43,384230
2017-11-20 16:00:00,628.78,637.39,624.94,634.65,490326
2017-11-21 16:00:00,633.48,633.48,625.48,632.4,505383
2017-11-22 16:00:00,633.0,642.08,633.0,638.24,421554
2017-11-24 13:00:00,641.92,641.92,629.69,632.98,123885
