,Open,High,Low,Close,Volume
2017-10-25 16:00:00,47.8,47.85,47.35,47.78,4712320
2017-10-26 16:00:00,48.0,48.71,47.91,48.62,4109701
2017-10-27 16:00:00,48.35,48.925,48.28,48.74,3630589
2017-10-30 16:00:00,48.83,49.37,48.68,49.11,7080032
2017-10-31 16:00:00,49.08,49.52,49.01,49.24,5214212
2017-11-01 16:00:00,49.35,49.91,49.35,49.55,7689784
2017-11-02 16:00:00,49.45,49.74,48.9,49.59,6312437
2017-11-03 16:00:00,49.49,49.55,48.97,49.54,5291861
2017-11-06 16:00:00,49.36,49.55,49.17,49.48,2897860
2017-11-07 16:00:00,49.48,49.555,48.16,48.23,5715606
2017-11-08 16:00:00,48.13,48.13,47.64,47.75,5981817
2017-11-09 16:00:00,47.23,47.53,46.585,46.75,6675419
2017-11-10 16:00:00,46.82,46.97,46.1,46.13,7960331
2017-11-13 16:00:00,45.96,46.56,45.73,46.49,6295837
2017-11-14 16:00:00,46.33,46.85,46.17,46.84,4421984
2017-11-15 16:00:00,46.44,47.0799,46.271,46.82,3681269
2017-11-16 16:00:00,47.01,47.325,46.72,46.77,3241121
2017-11-17 16:00:00,46.42,47.035,46.33,46.82,2671736
2017-11-20 16:00:00,47.01,47.09,46.77,46.98,3578661
2017-11-21 16:00:00,47.01,47.08,46.37,46.57,4267477
2017-11-22 16:00:00,46.65,46.79,46.425,46.49,2652453
2017-11-24 13:00:00,46.61,46.69,46.32,46.34,1019485
