,Open,High,Low,Close,Volume
2017-10-25 16:00:00,327.8,328.97,327.64,328.03,748488
2017-10-26 16:00:00,328.5,329.52,327.19,328.08,561980
2017-10-27 16:00:00,327.85,328.97,327.55,328.09,406039
2017-10-30 16:00:00,327.7,328.26,326.72,326.87,270599
2017-10-31 16:00:00,326.87,327.8,326.74,327.07,319930
2017-11-01 16:00:00,327.5,328.0299,325.31,326.78,602241
2017-11-02 16:00:00,327.95,335.57,327.35,335.57,969003
2017-11-03 16:00:00,333.56,335.84,332.07,333.86,620780
2017-11-06 16:00:00,334.49,335.65,333.93,334.39,535061
2017-11-07 16:00:00,335.21,335.21,332.92,333.57,560055
2017-11-08 16:00:00,334.05,334.21,333.08,334.08,635562
2017-11-09 16:00:00,333.65,335.28,333.13,335.28,551239
2017-11-10 16:00:00,335.1,335.47,331.58,331.89,672700
2017-11-13 16:00:00,332.13,333.38,331.7,333.08,319747
2017-11-14 16:00:00,332.35,333.62,332.14,333.34,260213
2017-11-15 16:00:00,332.6,333.31,332.105,332.26,505466
2017-11-16 16:00:00,332.85,334.25,332.85,334.25,301309
2017-11-17 16:00:00,332.75,333.845,332.75,333.56,297434
2017-11-20 16:00:00,333.72,334.31,333.29,333.29,589960
2017-11-21 16:00:00,334.1,336.98,334.1,336.66,400872
2017-11-22 16:00:00,335.95,336.125,334.45,335.18,551895
2017-11-24 13:00:00,335.04,336.44,334.99,336.11,173948
