,Open,High,Low,Close,Volume
2017-10-25 16:00:00,210.91,211.66,209.98,210.39,1179449
2017-10-26 16:00:00,211.49,211.55,209.47,209.84,1936360
2017-10-27 16:00:00,210.1,211.19,209.23,210.1,1571834
2017-10-30 16:00:00,209.73,210.16,207.79,208.65,1112519
2017-10-31 16:00:00,208.5,209.55,208.0,208.67,1323983
2017-11-01 16:00:00,207.53,210.1,203.99,208.06,2077033
2017-11-02 16:00:00,214.94,224.73,210.0,224.02,2706465
2017-11-03 16:00:00,218.42,224.89,217.5,224.41,1405516
2017-11-06 16:00:00,224.66,225.23,222.05,222.2,992754
2017-11-07 16:00:00,222.75,223.11,219.72,221.27,2236386
2017-11-08 16:00:00,221.43,222.325,220.27,221.43,1224973
2017-11-09 16:00:00,220.97,224.58,220.525,224.48,988370
2017-11-10 16:00:00,223.68,224.3,217.56,219.23,1773109
2017-11-13 16:00:00,218.67,220.71,217.5,220.0,867167
2017-11-14 16:00:00,219.04,221.15,218.7,220.46,868931
2017-11-15 16:00:00,220.08,220.44,218.83,219.1,811592
2017-11-16 16:00:00,219.82,221.59,219.14,221.52,897724
2017-11-17 16:00:00,220.77,221.42,219.92,220.31,719688
2017-11-20 16:00:00,221.15,222.31,220.48,221.5,807948
2017-11-21 16:00:00,223.28,227.5,222.525,226.83,1476576
2017-11-22 16:00:00,226.23,226.23,222.96,224.23,1161293
2017-11-24 13:00:00,225.0,226.4,224.23,226.28,374011
