,Open,High,Low,Close,Volume
2017-10-25 16:00:00,55.73,55.91,55.1,55.66,515379
2017-10-26 16:00:00,55.67,56.54,55.58,56.33,669560
2017-10-27 16:00:00,56.16,56.175,54.89,55.88,819951
2017-10-30 16:00:00,55.81,55.88,55.2,55.71,664291
2017-10-31 16:00:00,55.65,57.13,55.61,57.02,1240291
2017-11-01 16:00:00,57.34,57.34,55.3,55.43,909984
2017-11-02 16:00:00,55.4,56.18,54.84,55.93,662716
2017-11-03 16:00:00,55.72,56.05,55.49,55.61,391174
2017-11-06 16:00:00,55.5,55.66,55.09,55.1,425733
2017-11-07 16:00:00,55.0,55.76,55.0,55.74,555887
2017-11-08 16:00:00,55.74,56.47,55.575,56.46,559841
2017-11-09 16:00:00,56.26,56.8,56.14,56.77,496544
2017-11-10 16:00:00,56.56,57.54,56.56,57.28,411940
2017-11-13 16:00:00,57.31,58.51,56.99,58.18,813507
2017-11-14 16:00:00,57.93,59.16,57.705,59.12,1267201
2017-11-15 16:00:00,58.89,58.89,57.32,57.51,736868
2017-11-16 16:00:00,57.65,58.66,57.65,58.35,667543
2017-11-17 16:00:00,57.92,58.75,57.92,58.55,705345
2017-11-20 16:00:00,58.73,59.13,58.5,58.85,636903
2017-11-21 16:00:00,58.92,59.22,58.69,58.87,597418
2017-11-22 16:00:00,58.7,58.77,58.45,58.67,447808
2017-11-24 13:00:00,58.83,59.11,58.5,58.84,284473
