,Open,High,Low,Close,Volume
2017-10-25 16:00:00,30.7,30.86,30.0,30.07,4848981
2017-10-26 16:00:00,30.12,30.34,29.73,29.94,2599019
2017-10-27 16:00:00,29.79,31.31,29.62,31.3,4641739
2017-10-30 16:00:00,31.18,31.77,31.09,31.5,4545954
2017-10-31 16:00:00,31.29,31.53,31.0504,31.43,3144708
2017-11-01 16:00:00,31.75,32.34,31.56,31.85,3127214
2017-11-02 16:00:00,31.79,32.17,31.095,31.28,3900514
2017-11-03 16:00:00,30.91,31.46,30.8511,31.18,4539086
2017-11-06 16:00:00,31.55,33.98,31.54,33.92,8134486
2017-11-07 16:00:00,34.04,34.08,33.31,33.4,4451305
2017-11-08 16:00:00,33.24,33.72,32.79,32.84,3370157
2017-11-09 16:00:00,32.69,32.95,32.19,32.74,4218703
2017-11-10 16:00:00,32.65,33.14,32.4,32.95,2512611
2017-11-13 16:00:00,32.74,32.79,31.84,31.88,3665153
2017-11-14 16:00:00,31.46,31.75,29.95,30.51,6311904
2017-11-15 16:00:00,29.85,30.83,29.62,30.6,4733244
2017-11-16 16:00:00,30.61,31.15,30.11,30.15,3926933
2017-11-17 16:00:00,30.2,31.02,30.16,30.91,2690587
2017-11-20 16:00:00,30.92,30.92,30.31,30.44,3927182
2017-11-21 16:00:00,30.55,30.99,30.55,30.66,3346074
2017-11-22 16:00:00,30.75,31.13,30.6,30.71,3378941
2017-11-24 13:00:00,30.78,31.11,30.5999,30.8,1314053
