,Open,High,Low,Close,Volume
2017-10-25 16:00:00,53.01,53.1099,51.37,51.75,8130451
2017-10-26 16:00:00,52.04,52.58,51.83,52.22,4978332
2017-10-27 16:00:00,52.07,52.3,51.649,52.14,5090769
2017-10-30 16:00:00,51.75,52.055,51.6,51.65,3760043
2017-10-31 16:00:00,51.54,51.9,51.39,51.45,3745580
2017-11-01 16:00:00,51.67,52.0786,51.56,51.65,3561503
2017-11-02 16:00:00,51.43,51.86,51.145,51.4,5934311
2017-11-03 16:00:00,51.3,51.5,51.05,51.33,5563892
2017-11-06 16:00:00,51.26,51.48,51.2,51.35,3847764
2017-11-07 16:00:00,51.5,51.72,50.97,51.07,3933624
2017-11-08 16:00:00,51.07,51.42,50.89,51.22,3267691
2017-11-09 16:00:00,50.85,51.24,50.59,50.82,4432088
2017-11-10 16:00:00,50.89,51.01,50.53,50.93,3552471
2017-11-13 16:00:00,50.6,51.07,50.57,51.02,3058082
2017-11-14 16:00:00,50.67,51.98,50.64,51.85,6879575
2017-11-15 16:00:00,51.38,52.17,51.2,51.94,4890886
2017-11-16 16:00:00,52.11,52.7099,52.1,52.23,5229702
2017-11-17 16:00:00,52.0,52.8,51.92,52.47,4337071
2017-11-20 16:00:00,52.63,52.77,52.37,52.52,4558112
2017-11-21 16:00:00,52.64,52.64,52.03,52.42,4905427
2017-11-22 16:00:00,52.41,52.59,52.31,52.43,4545555
2017-11-24 13:00:00,52.51,52.55,52.19,52.23,1326919
