,Open,High,Low,Close,Volume
2017-09-14 16:00:00,425.79,426.9999,424.43,425.69,468286
2017-09-15 16:00:00,426.74,429.39,423.13,428.72,850216
2017-09-18 16:00:00,429.39,431.71,428.55,429.44,456054
2017-09-19 16:00:00,430.69,433.71,428.95,432.39,361913
2017-09-20 16:00:00,434.37,435.2,431.36,434.07,398882
2017-09-21 16:00:00,434.73,435.87,431.4001,433.63,293317
2017-09-22 16:00:00,433.03,437.14,431.9108,435.49,285819
2017-09-25 16:00:00,435.49,437.8,433.18,437.63,288569
2017-09-26 16:00:00,438.66,438.66,433.8,434.4,308425
2017-09-27 16:00:00,438.27,438.68,433.87,438.4,407813
2017-09-28 16:00:00,442.0,446.65,439.52,446.11,473541
2017-09-29 16:00:00,445.0,448.53,443.56,447.09,457746
2017-10-02 16:00:00,447.73,450.49,447.01,449.95,416892
2017-10-03 16:00:00,449.42,450.9,446.87,450.79,541347
2017-10-04 16:00:00,450.85,457.94,448.985,457.91,840471
2017-10-05 16:00:00,458.56,465.61,456.955,464.43,642975
2017-10-06 16:00:00,464.43,465.87,459.39,463.22,458566
2017-10-09 16:00:00,464.91,465.81,461.66,462.45,339624
2017-10-10 16:00:00,463.25,465.49,461.63,465.49,688104
2017-10-11 16:00:00,474.0,474.0,460.16,467.32,200218
2017-10-12 16:00:00,476.0,485.23,473.99,480.59,1241743
2017-10-13 16:00:00,480.51,483.56,475.07,475.49,639780
2017-10-16 16:00:00,476.63,478.7472,474.731,477.96,425474
2017-10-17 16:00:00,477.22,478.459,472.795,475.55,431729
2017-10-18 16:00:00,477.43,477.88,474.3501,477.5,414918
2017-10-19 16:00:00,474.0,477.64,472.24,476.79,464164
2017-10-20 16:00:00,489.79,489.79,475.19,476.62,532146
2017-10-23 16:00:00,476.99,479.47,473.73,474.39,436872
2017-10-24 16:00:00,477.65,478.28,472.04,473.72,510368
2017-10-25 16:00:00,473.72,474.81,465.15,469.15,644010
2017-10-26 16:00:00,472.18,475.3,470.67,473.48,495196
2017-10-27 16:00:00,473.69,477.859,470.66,475.13,432631
2017-10-30 16:00:00,475.33,475.66,471.5986,472.29,321075
2017-10-31 16:00:00,471.72,473.175,470.24,470.83,413065
2017-11-01 16:00:00,473.21,473.85,468.8,469.29,449755
2017-11-02 16:00:00,469.43,476.91,469.325,474.92,528822
2017-11-03 16:00:00,473.23,480.17,472.1,479.11,435634
2017-11-06 16:00:00,478.75,479.79,475.05,475.61,241614
2017-11-07 16:00:00,475.21,479.53,472.23,473.37,240385
2017-11-08 16:00:00,472.14,473.93,470.96,472.2,362202
2017-11-09 16:00:00,469.36,471.99,462.51,466.6,454984
2017-11-10 16:00:00,466.15,468.88,463.57,465.83,304532
2017-11-13 16:00:00,462.38,465.43,461.0679,465.11,499094
2017-11-14 16:00:00,463.22,470.61,462.6,470.45,365975
2017-11-15 16:00:00,467.86,472.275,463.75,470.5,470414
2017-11-16 16:00:00,473.21,474.35,470.56,474.02,247538
2017-11-17 16:00:00,471.75,479.25,471.66,473.99,505577
2017-11-20 16:00:00,474.99,476.37,472.8501,474.77,392224
2017-11-21 16:00:00,477.71,482.7392,477.02,481.36,440921
2017-11-22 16:00:00,481.2,483.98,478.315,478.94,265359
2017-11-24 13:00:00,481.13,482.92,479.34,479.74,134441
2017-11-27 16:00:00,480.7,484.17,480.22,481.96,339337
2017-11-28 16:00:00,482.85,493.56,480.695,493.06,447598
2017-11-29 16:00:00,495.83,505.33,494.1,500.82,685005
2017-11-30 16:00:00,503.94,509.0,499.56,501.19,1071210
2017-12-01 16:00:00,499.67,504.4,490.73,502.08,574691
2017-12-04 16:00:00,509.11,515.6,508.095,513.5,716880
2017-12-05 16:00:00,513.62,515.483,510.9,512.12,501543
2017-12-06 16:00:00,507.0,516.5199,506.2,511.82,386891
2017-12-07 16:00:00,511.41,516.47,511.27,512.41,416743
2017-12-08 16:00:00,514.2,517.305,511.61,515.49,471686
2017-12-11 16:00:00,515.13,515.71,510.79,512.13,398137
2017-12-12 16:00:00,517.73,518.55,511.67,517.73,430666
2017-12-13 16:00:00,517.02,518.88,511.4,512.55,482113
