,Open,High,Low,Close,Volume
2017-09-14 16:00:00,178.8,179.16,178.38,178.57,3304129
2017-09-15 16:00:00,179.24,180.36,178.81,179.89,9234842
2017-09-18 16:00:00,180.5,181.74,180.27,181.47,3698635
2017-09-19 16:00:00,181.5,183.01,181.5,183.01,3159030
2017-09-20 16:00:00,183.3,183.93,182.46,183.82,3742122
2017-09-21 16:00:00,183.32,183.93,183.03,183.16,2368980
2017-09-22 16:00:00,182.63,182.84,181.3034,181.86,2688065
2017-09-25 16:00:00,181.99,182.64,180.8,182.52,2424610
2017-09-26 16:00:00,182.55,182.87,181.74,181.86,2381967
2017-09-27 16:00:00,182.87,184.0,182.51,183.27,2548045
2017-09-28 16:00:00,183.4,183.95,182.44,183.21,1930837
2017-09-29 16:00:00,183.59,183.68,182.42,183.32,2761562
2017-10-02 16:00:00,183.45,185.47,182.9301,185.41,2577545
2017-10-03 16:00:00,185.6,186.51,184.6,185.67,3173887
2017-10-04 16:00:00,186.2,186.67,185.51,185.83,2071581
2017-10-05 16:00:00,186.17,188.04,185.8,187.12,2786086
2017-10-06 16:00:00,187.2,187.62,186.05,187.43,2995155
2017-10-09 16:00:00,187.5,187.95,186.639,187.5,2036652
2017-10-10 16:00:00,187.46,188.2,187.16,188.0,2212831
2017-10-11 16:00:00,187.4,187.95,186.48,186.98,317643
2017-10-12 16:00:00,187.7,187.99,185.97,186.3,2640716
2017-10-13 16:00:00,186.77,188.0,186.33,187.37,2830248
2017-10-16 16:00:00,188.0,188.62,187.57,187.96,2316734
2017-10-17 16:00:00,187.96,188.0,186.5,187.39,2273060
2017-10-18 16:00:00,187.75,188.13,186.8,187.85,2192928
2017-10-19 16:00:00,187.16,187.5,186.43,187.21,2831912
2017-10-20 16:00:00,187.75,189.04,187.58,189.04,2934866
2017-10-23 16:00:00,189.18,189.72,188.64,189.39,2418165
2017-10-24 16:00:00,189.92,190.68,189.53,189.78,2888644
2017-10-25 16:00:00,189.83,190.0,187.66,188.71,3394242
2017-10-26 16:00:00,189.65,189.92,187.831,188.61,2740876
2017-10-27 16:00:00,188.32,188.63,187.05,188.59,2978782
2017-10-30 16:00:00,188.02,188.52,187.3474,187.85,2473723
2017-10-31 16:00:00,188.06,188.11,186.41,186.94,3290354
2017-11-01 16:00:00,188.1,188.13,186.73,187.17,2727823
2017-11-02 16:00:00,186.75,188.78,185.89,188.61,3340869
2017-11-03 16:00:00,188.13,188.55,187.02,187.27,2159941
2017-11-06 16:00:00,186.1,187.57,185.3,186.68,2603060
2017-11-07 16:00:00,187.23,188.19,185.61,186.3,2500555
2017-11-08 16:00:00,186.31,186.89,184.35,184.6,4118808
2017-11-09 16:00:00,183.34,184.679,181.76,184.49,3633049
2017-11-10 16:00:00,183.84,184.07,182.51,183.68,3043339
2017-11-13 16:00:00,183.16,184.85,183.16,184.4,1889919
2017-11-14 16:00:00,183.66,184.0,182.5001,183.34,3087975
2017-11-15 16:00:00,182.13,182.9,181.41,181.81,4004451
2017-11-16 16:00:00,182.21,183.05,181.65,182.05,3944011
2017-11-17 16:00:00,181.7,181.94,180.5,181.06,2715940
2017-11-20 16:00:00,181.43,181.98,180.44,181.63,2428837
2017-11-21 16:00:00,181.78,183.5,181.51,183.18,3046964
2017-11-22 16:00:00,183.78,183.78,181.94,182.56,3017043
2017-11-24 13:00:00,182.66,182.98,182.2456,182.36,1038600
2017-11-27 16:00:00,182.74,183.87,182.41,183.49,2985187
2017-11-28 16:00:00,184.1,187.84,184.02,187.54,3721044
2017-11-29 16:00:00,188.2,192.0,187.57,189.85,4898043
2017-11-30 16:00:00,190.35,193.81,189.95,193.01,6420402
2017-12-01 16:00:00,193.59,194.99,189.72,194.56,5177289
2017-12-04 16:00:00,196.18,199.48,196.18,196.96,4899504
2017-12-05 16:00:00,197.77,197.99,195.5,196.07,3411657
2017-12-06 16:00:00,196.06,196.8299,194.8,196.01,3315684
2017-12-07 16:00:00,195.91,196.75,194.98,196.34,2650907
2017-12-08 16:00:00,196.44,197.28,195.02,196.44,3953424
2017-12-11 16:00:00,196.63,197.18,195.3,196.7,3605038
2017-12-12 16:00:00,199.07,199.92,197.0,199.07,4343014
2017-12-13 16:00:00,198.56,199.63,197.35,197.4,4151856
