,Open,High,Low,Close,Volume
2017-10-25 16:00:00,29.75,29.82,29.47,29.61,7756919
2017-10-26 16:00:00,28.44,29.31,28.37,28.82,12223783
2017-10-27 16:00:00,28.93,29.09,28.25,28.5,10274637
2017-10-30 16:00:00,28.4,28.5,28.12,28.16,6885770
2017-10-31 16:00:00,28.16,28.27,27.82,28.14,8527816
2017-11-01 16:00:00,28.23,28.27,27.77,27.85,6185259
2017-11-02 16:00:00,27.89,28.015,27.22,27.44,13217229
2017-11-03 16:00:00,27.49,27.92,27.38,27.86,7182897
2017-11-06 16:00:00,27.85,27.9,27.6,27.81,7662024
2017-11-07 16:00:00,27.93,27.98,27.74,27.96,4884141
2017-11-08 16:00:00,27.82,28.13,27.64,28.1,7645584
2017-11-09 16:00:00,27.96,28.61,27.92,28.59,9620206
2017-11-10 16:00:00,28.5,28.55,27.97,28.36,6526094
2017-11-13 16:00:00,28.28,28.61,28.19,28.45,4722382
2017-11-14 16:00:00,28.43,28.5,28.23,28.32,6892846
2017-11-15 16:00:00,28.26,28.26,26.76,28.01,5377481
2017-11-16 16:00:00,28.1,28.49,28.05,28.28,3846385
2017-11-17 16:00:00,28.2,28.37,28.14,28.26,5264063
2017-11-20 16:00:00,28.28,28.37,28.175,28.35,3410638
2017-11-21 16:00:00,28.46,28.88,28.4,28.8,5998650
2017-11-22 16:00:00,28.77,28.81,28.46,28.47,5265186
2017-11-24 13:00:00,28.51,28.68,28.47,28.66,1236835
