,Open,High,Low,Close,Volume
2017-10-25 16:00:00,121.47,122.18,120.25,121.49,563934
2017-10-26 16:00:00,122.25,122.25,120.4,121.28,409636
2017-10-27 16:00:00,121.09,121.84,120.56,121.23,452089
2017-10-30 16:00:00,121.09,121.81,120.31,120.81,392961
2017-10-31 16:00:00,120.5,121.52,119.92,121.18,577357
2017-11-01 16:00:00,121.24,122.74,121.08,121.98,614901
2017-11-02 16:00:00,122.0,123.69,121.44,122.77,682552
2017-11-03 16:00:00,122.07,122.13,119.74,120.68,1067619
2017-11-06 16:00:00,120.96,123.79,120.96,123.43,639878
2017-11-07 16:00:00,123.52,124.6158,123.07,124.19,563172
2017-11-08 16:00:00,124.08,125.25,123.91,124.74,620928
2017-11-09 16:00:00,124.62,126.13,124.1,126.01,752386
2017-11-10 16:00:00,125.1,126.65,125.09,125.85,566855
2017-11-13 16:00:00,126.19,126.365,125.29,125.93,386724
2017-11-14 16:00:00,125.72,126.41,124.18,124.78,543494
2017-11-15 16:00:00,124.85,125.02,123.94,124.15,409279
2017-11-16 16:00:00,123.89,125.74,123.84,125.18,604235
2017-11-17 16:00:00,124.56,125.49,124.54,125.04,360006
2017-11-20 16:00:00,125.25,125.3902,124.415,124.57,473549
2017-11-21 16:00:00,125.12,125.43,124.43,125.2,480384
2017-11-22 16:00:00,124.68,125.59,124.57,125.0,351615
2017-11-24 13:00:00,125.41,125.75,125.0,125.16,134916
