,Open,High,Low,Close,Volume
2017-10-25 16:00:00,74.48,74.63,73.2601,73.62,17188102
2017-10-26 16:00:00,73.66,74.25,73.5958,73.79,13213118
2017-10-27 16:00:00,73.43,73.98,73.01,73.87,11309869
2017-10-30 16:00:00,73.21,73.91,73.18,73.78,10556913
2017-10-31 16:00:00,73.87,74.09,73.2648,73.5,11733543
2017-11-01 16:00:00,73.99,74.52,73.81,74.03,11361923
2017-11-02 16:00:00,73.95,74.85,73.33,74.74,12997496
2017-11-03 16:00:00,74.22,74.39,73.84,74.05,10692579
2017-11-06 16:00:00,73.59,74.03,73.17,73.8,12636568
2017-11-07 16:00:00,73.78,74.0,72.3199,72.71,17255669
2017-11-08 16:00:00,72.39,72.57,71.52,72.34,18710614
2017-11-09 16:00:00,71.72,72.76,71.45,72.43,15496589
2017-11-10 16:00:00,72.53,72.86,72.11,72.25,12853126
2017-11-13 16:00:00,71.67,72.15,71.48,71.99,13500569
2017-11-14 16:00:00,71.65,71.805,71.04,71.53,13188856
2017-11-15 16:00:00,70.62,72.07,70.02,71.73,17541796
2017-11-16 16:00:00,72.11,72.3199,71.51,71.67,12415631
2017-11-17 16:00:00,71.16,71.83,70.94,71.33,11812986
2017-11-20 16:00:00,71.77,72.3,71.28,72.05,10000030
2017-11-21 16:00:00,72.5,72.59,72.13,72.38,9632060
2017-11-22 16:00:00,72.45,73.15,72.26,72.26,9146179
2017-11-24 13:00:00,72.41,72.52,71.99,72.02,4676099
