,Open,High,Low,Close,Volume
2017-09-14 16:00:00,33.34,33.37,33.1,33.17,1204341
2017-09-15 16:00:00,33.17,33.22,32.89,33.1,2939591
2017-09-18 16:00:00,33.17,33.36,32.905,32.99,2188293
2017-09-19 16:00:00,33.04,33.04,32.7,32.9,2082999
2017-09-20 16:00:00,32.98,33.0,32.39,32.61,1866052
2017-09-21 16:00:00,32.52,32.67,32.35,32.36,1889282
2017-09-22 16:00:00,32.34,32.73,32.27,32.68,1670815
2017-09-25 16:00:00,32.62,33.02,32.49,33.01,1915417
2017-09-26 16:00:00,33.11,33.315,32.98,33.16,1838738
2017-09-27 16:00:00,32.57,33.3532,32.57,33.25,1359745
2017-09-28 16:00:00,33.09,33.18,32.825,33.01,1717248
2017-09-29 16:00:00,33.0,33.405,32.94,33.38,1322320
2017-10-02 16:00:00,33.36,33.73,33.25,33.67,1148022
2017-10-03 16:00:00,33.66,33.68,33.42,33.57,1328550
2017-10-04 16:00:00,33.56,33.7,33.33,33.66,857504
2017-10-05 16:00:00,33.78,33.98,33.65,33.94,1043602
2017-10-06 16:00:00,33.89,33.97,33.65,33.86,936191
2017-10-09 16:00:00,33.86,33.9,33.45,33.57,1564252
2017-10-10 16:00:00,33.58,33.75,33.46,33.64,1487428
2017-10-11 16:00:00,33.52,33.67,33.38,33.63,1219876
2017-10-12 16:00:00,33.68,33.99,33.64,33.92,1295747
2017-10-13 16:00:00,34.05,34.165,33.83,33.88,1136138
2017-10-16 16:00:00,33.87,33.88,33.41,33.71,1877569
2017-10-17 16:00:00,33.69,33.74,33.54,33.59,1594706
2017-10-18 16:00:00,33.57,33.84,33.41,33.73,1946303
2017-10-19 16:00:00,33.68,33.99,33.6,33.93,1233168
2017-10-20 16:00:00,33.94,34.15,33.84,34.1,1261554
2017-10-23 16:00:00,34.18,34.41,34.05,34.29,1645126
2017-10-24 16:00:00,34.27,34.35,33.83,34.29,2236048
2017-10-25 16:00:00,34.18,34.33,33.86,34.13,1793667
2017-10-26 16:00:00,33.0,33.28,31.45,32.63,5181807
2017-10-27 16:00:00,32.64,33.11,32.54,32.87,4022586
2017-10-30 16:00:00,32.74,32.89,32.32,32.32,2549603
2017-10-31 16:00:00,32.41,32.49,32.23,32.38,2609597
2017-11-01 16:00:00,32.56,32.99,32.355,32.93,2359355
2017-11-02 16:00:00,32.83,32.93,32.41,32.41,2057387
2017-11-03 16:00:00,32.41,32.76,32.24,32.65,2350985
2017-11-06 16:00:00,32.58,32.73,32.44,32.45,1197582
2017-11-07 16:00:00,32.47,32.6,32.25,32.3,1729539
2017-11-08 16:00:00,32.33,32.68,32.25,32.62,1431621
2017-11-09 16:00:00,32.36,32.47,32.0,32.26,1852388
2017-11-10 16:00:00,32.15,32.45,32.07,32.45,1677410
2017-11-13 16:00:00,32.29,32.41,32.24,32.32,1437966
2017-11-14 16:00:00,32.21,32.48,32.16,32.31,2145434
2017-11-15 16:00:00,32.26,32.39,31.97,32.12,2111318
2017-11-16 16:00:00,32.1,32.6,32.1,32.58,2143039
2017-11-17 16:00:00,32.57,32.62,32.26,32.51,1997190
2017-11-20 16:00:00,32.47,32.63,32.27,32.53,1393969
2017-11-21 16:00:00,32.77,32.79,32.325,32.58,2136289
2017-11-22 16:00:00,32.58,32.72,32.43,32.45,1149291
2017-11-24 13:00:00,32.44,32.71,32.43,32.63,673050
2017-11-27 16:00:00,32.69,33.0,32.575,32.63,1426403
2017-11-28 16:00:00,32.67,32.81,32.4,32.69,1676665
2017-11-29 16:00:00,32.49,32.94,32.49,32.58,2321918
2017-11-30 16:00:00,32.71,33.21,32.6,33.07,2550549
2017-12-01 16:00:00,32.92,33.24,32.5104,33.19,1613467
2017-12-04 16:00:00,33.42,33.65,33.14,33.28,2875155
2017-12-05 16:00:00,33.38,33.565,33.22,33.22,1857766
2017-12-06 16:00:00,33.28,33.465,33.18,33.3,1705119
2017-12-07 16:00:00,33.25,33.29,32.97,33.17,1772571
2017-12-08 16:00:00,33.33,33.52,33.23,33.48,1324012
2017-12-11 16:00:00,33.43,33.58,33.21,33.33,1815255
2017-12-12 16:00:00,33.28,33.67,33.2554,33.49,1456019
2017-12-13 16:00:00,33.56,33.65,33.28,33.36,1544926
