,Open,High,Low,Close,Volume
2017-09-14 16:00:00,34.77,34.8,34.26,34.48,3602960
2017-09-15 16:00:00,34.66,35.04,34.52,35.01,4881215
2017-09-18 16:00:00,34.95,35.065,34.79,34.89,3372305
2017-09-19 16:00:00,34.83,34.9558,34.11,34.17,3243137
2017-09-20 16:00:00,33.84,33.92,33.17,33.7,4784078
2017-09-21 16:00:00,33.74,33.84,33.325,33.42,4234279
2017-09-22 16:00:00,33.53,33.739,32.92,33.15,3348834
2017-09-25 16:00:00,33.08,33.545,33.0,33.47,4679590
2017-09-26 16:00:00,33.55,33.61,33.29,33.36,3595876
2017-09-27 16:00:00,33.4,33.45,32.9,33.34,5178736
2017-09-28 16:00:00,33.74,34.56,33.59,33.95,6995141
2017-09-29 16:00:00,34.19,34.455,33.66,33.74,5224032
2017-10-02 16:00:00,33.75,33.84,33.22,33.34,4201604
2017-10-03 16:00:00,33.5,33.51,33.21,33.41,3899597
2017-10-04 16:00:00,33.37,34.03,33.15,33.96,4381765
2017-10-05 16:00:00,34.01,34.32,33.84,34.1,2723936
2017-10-06 16:00:00,34.15,34.375,34.01,34.08,3426397
2017-10-09 16:00:00,34.16,34.16,33.42,33.46,2444976
2017-10-10 16:00:00,33.62,33.89,33.42,33.72,2639459
2017-10-11 16:00:00,33.71,33.905,33.69,33.88,120893
2017-10-12 16:00:00,33.79,34.64,33.79,34.59,3692859
2017-10-13 16:00:00,34.7,34.7,34.2,34.33,4692253
2017-10-16 16:00:00,34.27,34.62,34.24,34.5,2707096
2017-10-17 16:00:00,34.35,34.53,34.12,34.21,3497079
2017-10-18 16:00:00,34.26,34.31,33.96,34.1,2968687
2017-10-19 16:00:00,33.98,34.11,33.615,33.76,2851514
2017-10-20 16:00:00,33.84,34.17,33.735,33.91,4282826
2017-10-23 16:00:00,33.94,34.26,33.84,34.21,2132327
2017-10-24 16:00:00,34.15,34.34,34.025,34.17,2275878
2017-10-25 16:00:00,34.1,34.2,33.77,33.93,3389432
2017-10-26 16:00:00,33.81,34.01,33.32,33.38,4251942
2017-10-27 16:00:00,33.43,33.73,33.255,33.69,3480572
2017-10-30 16:00:00,33.91,34.27,33.5,33.53,4789152
2017-10-31 16:00:00,33.8,34.455,33.79,34.16,2905641
2017-11-01 16:00:00,34.26,34.53,34.1,34.13,2854684
2017-11-02 16:00:00,33.87,34.1,33.7,33.86,2491130
2017-11-03 16:00:00,33.79,34.1868,33.765,33.91,1731437
2017-11-06 16:00:00,33.84,33.93,33.24,33.32,2869514
2017-11-07 16:00:00,33.32,33.93,33.21,33.76,2436664
2017-11-08 16:00:00,33.85,34.38,33.85,34.31,2044805
2017-11-09 16:00:00,34.25,34.48,33.905,33.96,2177336
2017-11-10 16:00:00,33.81,34.96,33.81,34.8,2810891
2017-11-13 16:00:00,34.82,35.24,34.73,34.84,2509537
2017-11-14 16:00:00,34.77,35.92,34.72,35.87,3876801
2017-11-15 16:00:00,35.73,35.77,35.16,35.18,3662184
2017-11-16 16:00:00,35.4,35.87,35.37,35.62,2491201
2017-11-17 16:00:00,35.44,36.1,35.44,35.71,2263529
2017-11-20 16:00:00,35.76,35.88,35.58,35.77,1801919
2017-11-21 16:00:00,35.72,35.9001,35.42,35.54,1946207
2017-11-22 16:00:00,35.52,35.66,35.375,35.51,1857279
2017-11-24 13:00:00,35.69,35.72,35.46,35.46,617532
2017-11-27 16:00:00,35.45,36.0552,35.44,35.94,2659292
2017-11-28 16:00:00,36.09,36.47,35.9,36.44,2720872
2017-11-29 16:00:00,36.38,37.62,36.31,37.2,4073314
2017-11-30 16:00:00,37.26,37.61,36.6447,37.33,4501910
2017-12-01 16:00:00,37.45,37.79,36.64,37.47,5626839
2017-12-04 16:00:00,37.94,38.17,37.56,37.93,5798735
2017-12-05 16:00:00,38.08,38.13,37.0,37.17,2480723
2017-12-06 16:00:00,36.96,37.27,36.865,37.08,3776293
2017-12-07 16:00:00,37.11,37.48,36.92,37.25,3609293
2017-12-08 16:00:00,37.3,37.405,36.9701,37.25,2127211
2017-12-11 16:00:00,37.12,37.28,36.96,37.24,3001333
2017-12-12 16:00:00,37.55,37.83,37.42,37.55,3399908
2017-12-13 16:00:00,37.63,37.67,37.16,37.34,3420912
