,Open,High,Low,Close,Volume
2017-10-25 16:00:00,137.21,137.83,134.7901,136.84,7438581
2017-10-26 16:00:00,136.88,138.24,136.85,136.94,5745354
2017-10-27 16:00:00,136.92,138.4,136.9,137.81,4064593
2017-10-30 16:00:00,137.3,137.81,136.48,136.49,3044543
2017-10-31 16:00:00,136.5,136.62,135.0801,135.8,3988311
2017-11-01 16:00:00,135.67,137.3,135.43,136.29,3629020
2017-11-02 16:00:00,136.42,136.99,135.69,136.47,2722613
2017-11-03 16:00:00,136.48,136.95,136.36,136.63,2105357
2017-11-06 16:00:00,136.8,138.45,136.79,137.71,2780869
2017-11-07 16:00:00,137.8,138.9,136.66,138.81,3222106
2017-11-08 16:00:00,138.4,138.75,137.18,137.29,1933255
2017-11-09 16:00:00,136.44,136.75,134.65,135.34,2940871
2017-11-10 16:00:00,135.09,136.89,135.07,136.48,2017641
2017-11-13 16:00:00,135.53,136.55,134.87,136.53,1894148
2017-11-14 16:00:00,138.0,138.12,136.47,137.54,3041283
2017-11-15 16:00:00,136.48,136.76,133.81,134.1,3746182
2017-11-16 16:00:00,135.47,137.41,135.1,136.36,2813638
2017-11-17 16:00:00,135.8,136.36,135.02,136.13,2312700
2017-11-20 16:00:00,136.44,137.81,136.25,136.91,2124623
2017-11-21 16:00:00,137.77,138.0,137.17,137.6,2221427
2017-11-22 16:00:00,138.22,138.42,137.2,138.01,4887659
2017-11-24 13:00:00,138.1,138.42,137.34,137.39,944517
