,Open,High,Low,Close,Volume
2017-10-25 16:00:00,154.54,155.27,153.39,154.16,1703702
2017-10-26 16:00:00,154.87,155.39,154.04,154.75,1218626
2017-10-27 16:00:00,154.25,154.25,151.4998,152.75,2419552
2017-10-30 16:00:00,152.65,154.31,151.38,152.89,1338058
2017-10-31 16:00:00,152.67,153.45,150.77,150.82,2128614
2017-11-01 16:00:00,150.53,152.25,150.51,151.31,1511371
2017-11-02 16:00:00,151.6,152.12,147.78,149.26,2708702
2017-11-03 16:00:00,148.65,149.68,147.76,148.27,1822331
2017-11-06 16:00:00,147.75,149.41,147.27,149.2,1472269
2017-11-07 16:00:00,149.82,150.81,149.13,149.8,1345219
2017-11-08 16:00:00,151.66,151.66,149.62,150.1,1466340
2017-11-09 16:00:00,149.73,151.72,149.25,151.64,1206764
2017-11-10 16:00:00,151.15,151.89,150.05,151.35,1016006
2017-11-13 16:00:00,151.14,151.83,150.02,151.34,1065364
2017-11-14 16:00:00,150.68,151.04,149.41,150.69,1216348
2017-11-15 16:00:00,150.25,151.75,149.025,151.16,1597537
2017-11-16 16:00:00,151.48,151.48,148.8,148.86,1244819
2017-11-17 16:00:00,148.19,149.16,147.98,148.63,966673
2017-11-20 16:00:00,148.57,149.41,147.84,149.0,983255
2017-11-21 16:00:00,149.5,150.0,148.97,149.18,960641
2017-11-22 16:00:00,148.76,149.11,147.97,148.25,982159
2017-11-24 13:00:00,149.1,149.1,148.05,148.93,465154
