,Open,High,Low,Close,Volume
2017-10-25 16:00:00,56.95,57.455,56.55,57.23,2564017
2017-10-26 16:00:00,57.09,58.01,56.76,57.04,6161269
2017-10-27 16:00:00,57.07,57.18,55.51,56.75,4936987
2017-10-30 16:00:00,56.51,57.24,56.12,56.12,4882154
2017-10-31 16:00:00,56.19,56.45,55.8,56.12,5025223
2017-11-01 16:00:00,56.21,56.71,55.74,56.19,7009898
2017-11-02 16:00:00,56.07,56.07,54.0,54.46,12759699
2017-11-03 16:00:00,53.96,56.2,52.75,55.4,15150100
2017-11-06 16:00:00,55.2,57.25,54.621,56.96,10498182
2017-11-07 16:00:00,57.17,59.25,57.13,57.61,15637219
2017-11-08 16:00:00,57.37,57.84,56.6,57.25,12565659
2017-11-09 16:00:00,56.8,58.7,56.67,58.08,12348718
2017-11-10 16:00:00,58.51,58.9,56.48,56.74,17567296
2017-11-13 16:00:00,56.58,56.74,55.32,55.92,21413836
2017-11-14 16:00:00,55.92,56.75,54.7,56.41,23062473
2017-11-15 16:00:00,56.33,56.75,55.63,56.04,29475697
2017-11-16 16:00:00,55.67,57.6,55.65,56.4,29783811
2017-11-17 16:00:00,56.3,57.25,55.16,56.74,29535496
2017-11-20 16:00:00,56.64,57.29,55.86,55.93,10854900
2017-11-21 16:00:00,55.89,56.87,55.78,56.74,14975149
2017-11-22 16:00:00,56.64,57.22,55.86,56.24,6799756
2017-11-24 13:00:00,56.5,56.96,56.21,56.54,3207803
