,Open,High,Low,Close,Volume
2017-09-14 16:00:00,104.02,104.98,103.14,104.81,1769760
2017-09-15 16:00:00,104.99,105.57,104.535,105.48,2987845
2017-09-18 16:00:00,105.38,106.18,104.38,104.49,1558263
2017-09-19 16:00:00,104.58,105.25,100.43,102.16,4935645
2017-09-20 16:00:00,102.25,102.83,100.81,101.84,2093242
2017-09-21 16:00:00,101.71,102.29,101.48,101.6,1616463
2017-09-22 16:00:00,101.05,101.45,100.05,100.6,2720047
2017-09-25 16:00:00,100.48,101.28,99.57,100.13,1733770
2017-09-26 16:00:00,100.29,100.67,99.16,99.57,2275325
2017-09-27 16:00:00,99.56,100.58,99.21,99.99,2568925
2017-09-28 16:00:00,99.78,100.6,99.47,100.54,1545299
2017-09-29 16:00:00,100.02,100.6644,99.45,99.98,2217086
2017-10-02 16:00:00,100.31,100.98,99.41,99.69,1509013
2017-10-03 16:00:00,99.61,100.0,99.33,99.65,1386403
2017-10-04 16:00:00,99.95,102.12,99.6,101.89,2051464
2017-10-05 16:00:00,101.95,102.21,101.34,101.57,2614633
2017-10-06 16:00:00,101.46,101.61,100.09,101.52,1565825
2017-10-09 16:00:00,101.36,102.77,101.08,102.12,1596156
2017-10-10 16:00:00,102.13,102.71,101.15,101.59,2527584
2017-10-11 16:00:00,101.61,102.24,101.42,102.215,104811
2017-10-12 16:00:00,102.25,103.48,101.63,103.1,2182210
2017-10-13 16:00:00,103.52,104.0,102.44,102.5,2084226
2017-10-16 16:00:00,101.17,102.33,101.03,101.85,2293869
2017-10-17 16:00:00,101.95,102.2,100.87,101.38,2503375
2017-10-18 16:00:00,100.99,101.48,99.54,100.96,2990072
2017-10-19 16:00:00,102.18,104.45,101.55,103.22,3784241
2017-10-20 16:00:00,103.52,105.37,103.25,104.99,3305316
2017-10-23 16:00:00,104.99,105.13,103.25,103.95,1900784
2017-10-24 16:00:00,104.06,104.65,103.5,104.06,1742942
2017-10-25 16:00:00,103.53,104.36,103.0,104.12,1735647
2017-10-26 16:00:00,105.0,105.18,103.16,103.18,2072633
2017-10-27 16:00:00,103.25,104.0,102.91,103.19,1651173
2017-10-30 16:00:00,103.34,110.655,103.2,106.11,5454815
2017-10-31 16:00:00,105.95,107.54,105.29,107.08,2476262
2017-11-01 16:00:00,107.68,107.74,104.78,105.14,2467176
2017-11-02 16:00:00,105.26,107.11,105.07,106.37,1451154
2017-11-03 16:00:00,105.84,107.27,105.27,106.51,1613547
2017-11-06 16:00:00,110.9,114.84,109.44,111.81,6501991
2017-11-07 16:00:00,111.81,112.46,110.44,111.76,2602817
2017-11-08 16:00:00,111.63,114.97,111.63,114.03,2104248
2017-11-09 16:00:00,113.7,114.56,112.77,113.5,1459623
2017-11-10 16:00:00,112.86,113.75,111.91,113.28,1285998
2017-11-13 16:00:00,113.38,113.88,111.78,112.9,2060088
2017-11-14 16:00:00,112.8,113.58,112.08,113.16,1519029
2017-11-15 16:00:00,113.49,113.59,111.96,112.55,1551474
2017-11-16 16:00:00,112.62,113.43,110.79,111.12,2923909
2017-11-17 16:00:00,110.52,111.45,109.79,110.02,2652801
2017-11-20 16:00:00,110.22,111.1,110.02,110.48,1321526
2017-11-21 16:00:00,110.68,112.31,110.63,112.11,2274257
2017-11-22 16:00:00,111.72,112.28,110.89,111.84,1000659
2017-11-24 13:00:00,111.91,113.28,111.85,112.72,535547
2017-11-27 16:00:00,113.48,114.53,113.1261,113.29,1095068
2017-11-28 16:00:00,114.0,114.0,112.6,113.52,2705711
2017-11-29 16:00:00,113.54,113.64,111.19,112.86,1368107
2017-11-30 16:00:00,113.08,113.35,111.96,113.0,1731153
2017-12-01 16:00:00,113.45,113.45,112.0,112.55,1777149
2017-12-04 16:00:00,112.45,113.485,109.565,109.63,1875502
2017-12-05 16:00:00,109.37,110.44,108.78,108.81,2082631
2017-12-06 16:00:00,109.11,109.5,108.0001,109.18,2812670
2017-12-07 16:00:00,109.48,110.17,108.02,109.71,1540196
2017-12-08 16:00:00,109.85,110.34,108.71,109.5,1667949
2017-12-11 16:00:00,109.57,111.14,108.91,110.91,2869368
2017-12-12 16:00:00,110.89,111.8,110.65,110.89,1198381
2017-12-13 16:00:00,111.19,112.46,110.91,111.37,1838021
