,Open,High,Low,Close,Volume
2017-09-14 16:00:00,32.07,32.44,31.901,32.36,3406320
2017-09-15 16:00:00,32.28,33.0,32.24,32.89,4863973
2017-09-18 16:00:00,33.47,36.51,33.32,35.1,10287755
2017-09-19 16:00:00,35.25,36.13,35.2,35.54,5590029
2017-09-20 16:00:00,35.63,36.01,34.86,35.19,4621334
2017-09-21 16:00:00,35.14,36.1,35.015,35.96,3249516
2017-09-22 16:00:00,35.83,35.99,35.125,35.23,3144631
2017-09-25 16:00:00,35.45,36.01,35.23,35.91,3658589
2017-09-26 16:00:00,35.78,35.875,34.33,34.88,5100139
2017-09-27 16:00:00,34.88,35.35,34.39,35.09,3801430
2017-09-28 16:00:00,35.28,35.79,34.43,34.84,4498976
2017-09-29 16:00:00,34.72,35.2,34.11,35.16,4052800
2017-10-02 16:00:00,35.11,35.53,34.69,35.4,3315658
2017-10-03 16:00:00,35.53,35.72,35.03,35.39,3332800
2017-10-04 16:00:00,35.42,35.86,34.91,35.1,2334356
2017-10-05 16:00:00,35.17,35.25,34.83,35.03,2198986
2017-10-06 16:00:00,34.87,34.9,33.98,34.2,3331542
2017-10-09 16:00:00,34.36,34.68,33.93,34.44,2712409
2017-10-10 16:00:00,34.44,34.56,34.05,34.48,2979818
2017-10-11 16:00:00,34.5,34.67,34.14,34.21,168661
2017-10-12 16:00:00,34.92,35.87,34.91,35.84,4026636
2017-10-13 16:00:00,36.07,37.0,35.93,36.8,6124125
2017-10-16 16:00:00,36.76,37.29,36.47,36.89,4278227
2017-10-17 16:00:00,36.9,37.39,36.47,37.0,4643565
2017-10-18 16:00:00,37.02,37.31,36.26,36.83,3160943
2017-10-19 16:00:00,36.54,36.77,36.01,36.33,3192830
2017-10-20 16:00:00,36.75,37.02,36.36,36.99,3194019
2017-10-23 16:00:00,36.9,37.19,36.28,36.31,2500953
2017-10-24 16:00:00,36.74,37.68,36.56,37.61,3257379
2017-10-25 16:00:00,37.47,38.01,37.17,37.68,3350316
2017-10-26 16:00:00,37.31,37.535,36.62,37.45,2317350
2017-10-27 16:00:00,37.15,37.53,36.67,37.11,2659086
2017-10-30 16:00:00,37.51,38.06,37.33,37.37,3952081
2017-10-31 16:00:00,37.62,38.1,37.42,37.98,4838558
2017-11-01 16:00:00,38.25,38.5,37.575,38.04,4439027
2017-11-02 16:00:00,38.74,39.04,36.71,38.55,5965827
2017-11-03 16:00:00,38.75,38.85,37.81,38.6,3506301
2017-11-06 16:00:00,38.67,39.32,38.6,39.21,3938647
2017-11-07 16:00:00,37.74,38.0,36.4201,36.89,6080464
2017-11-08 16:00:00,36.97,37.86,36.52,37.78,3320504
2017-11-09 16:00:00,37.52,38.01,36.77,37.14,3156474
2017-11-10 16:00:00,37.26,37.92,37.0,37.28,3391274
2017-11-13 16:00:00,36.96,37.72,36.83,37.37,2634861
2017-11-14 16:00:00,35.68,36.62,35.01,35.52,3518757
2017-11-15 16:00:00,35.11,35.5,33.5,35.32,4213095
2017-11-16 16:00:00,35.35,36.83,35.3,36.17,3147322
2017-11-17 16:00:00,35.89,36.04,35.25,35.48,4330185
2017-11-20 16:00:00,35.34,35.86,35.03,35.78,2332842
2017-11-21 16:00:00,35.96,36.89,35.96,36.45,2559781
2017-11-22 16:00:00,36.69,36.8,36.17,36.31,2567904
2017-11-24 13:00:00,35.82,36.32,35.39,35.94,1893075
2017-11-27 16:00:00,36.05,36.41,35.84,35.92,3235581
2017-11-28 16:00:00,35.81,36.54,35.72,36.45,3180661
2017-11-29 16:00:00,36.57,37.03,36.28,36.85,2799877
2017-11-30 16:00:00,36.77,37.6337,36.77,37.47,2683645
2017-12-01 16:00:00,37.59,37.85,36.76,37.59,2837136
2017-12-04 16:00:00,37.95,38.69,36.84,36.9,4267213
2017-12-05 16:00:00,36.82,37.97,36.71,37.36,3051778
2017-12-06 16:00:00,37.02,37.24,36.52,36.55,3585904
2017-12-07 16:00:00,37.18,38.3,36.51,38.22,2349927
2017-12-08 16:00:00,38.41,39.68,38.4,39.26,4567248
2017-12-11 16:00:00,39.25,39.64,39.101,39.4,3051114
2017-12-12 16:00:00,40.6,41.8,39.2,40.6,7533729
2017-12-13 16:00:00,40.77,41.41,40.6,41.26,3007935
