,Open,High,Low,Close,Volume
2017-09-14 16:00:00,34.96,35.34,34.74,34.78,5507967
2017-09-15 16:00:00,34.69,35.17,34.42,35.16,6791062
2017-09-18 16:00:00,35.18,35.72,35.13,35.59,3552377
2017-09-19 16:00:00,35.62,36.01,35.47,35.82,4242340
2017-09-20 16:00:00,35.85,35.976,35.035,35.79,8886660
2017-09-21 16:00:00,35.83,36.385,35.81,36.27,4439960
2017-09-22 16:00:00,36.09,36.52,36.03,36.35,2596961
2017-09-25 16:00:00,36.32,36.66,36.06,36.46,3923711
2017-09-26 16:00:00,36.54,37.01,36.36,36.82,4180510
2017-09-27 16:00:00,37.52,37.645,37.115,37.22,4287014
2017-09-28 16:00:00,37.35,37.43,36.78,37.07,3760507
2017-09-29 16:00:00,37.17,38.055,37.055,37.87,5707379
2017-10-02 16:00:00,37.53,37.7,36.92,37.22,9024125
2017-10-03 16:00:00,37.25,37.4,36.74,36.84,6926023
2017-10-04 16:00:00,36.12,36.77,36.1,36.57,11398209
2017-10-05 16:00:00,36.68,37.33,36.47,37.13,4742213
2017-10-06 16:00:00,37.31,37.68,37.07,37.49,5049589
2017-10-09 16:00:00,37.6,37.81,37.14,37.31,3696857
2017-10-10 16:00:00,37.34,37.86,37.275,37.81,3644130
2017-10-11 16:00:00,37.58,37.71,37.2,37.24,325534
2017-10-12 16:00:00,37.54,37.68,37.04,37.16,2885543
2017-10-13 16:00:00,37.0,37.335,36.51,36.98,3742695
2017-10-16 16:00:00,37.04,37.3082,36.92,37.05,3366185
2017-10-17 16:00:00,37.24,37.25,36.6,36.68,3307714
2017-10-18 16:00:00,36.88,37.32,36.65,37.18,5669304
2017-10-19 16:00:00,36.8,37.53,36.68,37.43,4632142
2017-10-20 16:00:00,38.35,38.7,37.74,38.33,6990167
2017-10-23 16:00:00,38.51,38.82,38.355,38.5,8428438
2017-10-24 16:00:00,38.61,38.94,38.3,38.37,6311983
2017-10-25 16:00:00,38.4,38.54,37.675,38.03,5422655
2017-10-26 16:00:00,38.3,38.99,38.19,38.51,4599947
2017-10-27 16:00:00,38.37,38.54,38.22,38.45,2464713
2017-10-30 16:00:00,38.25,38.4,37.8925,38.08,3720641
2017-10-31 16:00:00,37.97,38.345,37.91,38.01,3200490
2017-11-01 16:00:00,38.21,38.98,38.12,38.37,5282576
2017-11-02 16:00:00,38.26,38.875,37.9,38.74,3353110
2017-11-03 16:00:00,38.68,39.1,38.53,38.82,2949547
2017-11-06 16:00:00,38.69,38.9,38.48,38.72,2233709
2017-11-07 16:00:00,38.8,38.99,37.55,37.67,4868907
2017-11-08 16:00:00,37.45,37.57,36.98,37.31,5045840
2017-11-09 16:00:00,36.97,37.32,36.46,36.81,4777128
2017-11-10 16:00:00,36.85,37.0816,36.62,36.68,3615029
2017-11-13 16:00:00,36.47,37.28,36.25,37.2,4720110
2017-11-14 16:00:00,37.02,38.14,36.92,38.07,4903511
2017-11-15 16:00:00,37.68,38.35,37.4,38.14,4190970
2017-11-16 16:00:00,38.5,38.74,37.91,37.92,3584283
2017-11-17 16:00:00,37.65,38.37,37.57,38.17,2096797
2017-11-20 16:00:00,38.31,38.49,38.1,38.25,4023706
2017-11-21 16:00:00,38.37,38.37,37.79,37.9,4695566
2017-11-22 16:00:00,38.0,38.245,37.8,37.83,2848310
2017-11-24 13:00:00,38.02,38.09,37.615,37.75,807183
2017-11-27 16:00:00,37.74,37.87,37.465,37.63,2299751
2017-11-28 16:00:00,37.75,38.84,37.715,38.78,5322117
2017-11-29 16:00:00,39.25,41.08,39.11,40.67,8737030
2017-11-30 16:00:00,41.08,41.77,40.66,40.7,13191012
2017-12-01 16:00:00,40.9,41.19,39.42,40.69,6694642
2017-12-04 16:00:00,41.49,42.52,41.32,41.85,6494481
2017-12-05 16:00:00,41.83,42.09,40.74,40.89,6205616
2017-12-06 16:00:00,40.67,40.91,40.24,40.63,4265187
2017-12-07 16:00:00,40.41,41.44,40.27,41.43,4692245
2017-12-08 16:00:00,41.64,41.8,41.18,41.74,3200238
2017-12-11 16:00:00,41.7,41.92,41.16,41.42,3258264
2017-12-12 16:00:00,41.92,42.205,41.42,41.92,4219265
2017-12-13 16:00:00,41.9,42.34,41.31,41.34,3995198
