,Open,High,Low,Close,Volume
2017-10-25 16:00:00,45.69,45.995,44.92,45.76,1530852
2017-10-26 16:00:00,45.81,46.14,45.67,45.76,1453519
2017-10-27 16:00:00,45.36,45.56,45.085,45.32,1712016
2017-10-30 16:00:00,45.22,45.25,44.75,44.81,2194691
2017-10-31 16:00:00,44.81,45.43,44.74,45.17,3555349
2017-11-01 16:00:00,45.39,46.475,45.28,46.18,4003726
2017-11-02 16:00:00,46.07,46.1,44.0,45.43,5230949
2017-11-03 16:00:00,45.43,45.5,43.5,43.92,2914329
2017-11-06 16:00:00,43.83,43.88,43.21,43.32,2897615
2017-11-07 16:00:00,43.45,43.88,43.42,43.76,3160632
2017-11-08 16:00:00,44.0,44.74,44.0,44.45,2412120
2017-11-09 16:00:00,44.38,44.8,43.99,44.0,2566315
2017-11-10 16:00:00,44.0,44.97,43.96,44.75,3618838
2017-11-13 16:00:00,44.79,45.56,44.75,45.54,2189687
2017-11-14 16:00:00,45.25,45.96,45.25,45.74,3565354
2017-11-15 16:00:00,45.64,45.71,44.38,44.41,1850639
2017-11-16 16:00:00,44.6,45.32,44.48,45.14,2138114
2017-11-17 16:00:00,44.87,45.21,44.44,44.75,1871320
2017-11-20 16:00:00,44.68,44.95,44.405,44.68,1486253
2017-11-21 16:00:00,44.75,45.19,44.64,44.8,1257260
2017-11-22 16:00:00,45.04,45.2,44.535,44.76,1523022
2017-11-24 13:00:00,44.93,44.93,44.6,44.82,900604
