,Open,High,Low,Close,Volume
2017-10-25 16:00:00,78.43,78.91,77.94,78.6,1221042
2017-10-26 16:00:00,79.63,80.83,79.16,79.59,2095430
2017-10-27 16:00:00,80.08,80.08,78.5,79.82,1649002
2017-10-30 16:00:00,79.67,80.03,78.02,78.35,1665780
2017-10-31 16:00:00,78.3,79.33,78.3,78.53,2280636
2017-11-01 16:00:00,80.9,80.94,77.83,79.33,3029706
2017-11-02 16:00:00,80.15,81.35,78.6,79.55,4220585
2017-11-03 16:00:00,79.5,80.14,78.99,79.44,2348559
2017-11-06 16:00:00,79.45,79.66,78.32,79.08,2183166
2017-11-07 16:00:00,79.49,80.8,79.1,80.5,2410823
2017-11-08 16:00:00,80.26,80.93,79.995,80.63,1567423
2017-11-09 16:00:00,80.21,81.09,80.14,80.68,2254919
2017-11-10 16:00:00,80.31,80.48,80.04,80.33,1115846
2017-11-13 16:00:00,80.34,80.5,79.79,80.36,1185952
2017-11-14 16:00:00,80.1,80.61,80.0,80.37,1016525
2017-11-15 16:00:00,80.1,80.19,79.52,79.95,1103824
2017-11-16 16:00:00,80.07,80.53,79.95,80.4,924803
2017-11-17 16:00:00,78.75,79.3099,77.52,78.44,2570526
2017-11-20 16:00:00,78.61,78.94,78.23,78.43,1345557
2017-11-21 16:00:00,78.58,79.0,78.3,78.79,1314633
2017-11-22 16:00:00,78.71,79.77,78.7,79.24,896786
2017-11-24 13:00:00,79.45,79.92,77.9,79.67,325519
