,Open,High,Low,Close,Volume
2017-10-25 16:00:00,338.69,345.51,336.57,344.91,3518363
2017-10-26 16:00:00,322.0,328.0856,312.41,316.29,8927655
2017-10-27 16:00:00,314.83,321.91,308.3,319.76,3539039
2017-10-30 16:00:00,318.47,329.7202,316.76,323.98,3404061
2017-10-31 16:00:00,324.34,339.42,321.82,334.17,3727421
2017-11-01 16:00:00,335.62,340.74,335.465,338.22,2324198
2017-11-02 16:00:00,341.32,341.67,334.65,337.66,2074841
2017-11-03 16:00:00,334.59,340.58,328.0,335.43,2226149
2017-11-06 16:00:00,338.0,361.28,336.63,348.4,3956652
2017-11-07 16:00:00,350.04,353.99,342.29,343.01,1721025
2017-11-08 16:00:00,342.58,343.84,335.5124,337.9,1372574
2017-11-09 16:00:00,335.79,342.34,333.055,341.2,1364388
2017-11-10 16:00:00,338.49,343.4,337.21,338.44,870133
2017-11-13 16:00:00,338.5,343.91,337.065,343.72,908984
2017-11-14 16:00:00,341.3,344.0,333.97,336.81,1452275
2017-11-15 16:00:00,337.33,337.66,330.5,334.22,1937529
2017-11-16 16:00:00,333.94,340.92,328.5,340.63,1513190
2017-11-17 16:00:00,341.38,349.54,338.955,341.54,1250464
2017-11-20 16:00:00,341.0,348.38,337.96,338.37,2286872
2017-11-21 16:00:00,339.24,344.85,337.64,338.42,1952084
2017-11-22 16:00:00,337.84,339.49,332.44,334.27,961096
2017-11-24 13:00:00,333.64,335.44,326.2,328.98,769024
