,Open,High,Low,Close,Volume
2017-10-25 16:00:00,193.4,195.84,192.48,195.7,1599071
2017-10-26 16:00:00,196.38,202.22,195.9,198.75,1765465
2017-10-27 16:00:00,198.69,202.5,198.6,201.94,1482322
2017-10-30 16:00:00,201.54,201.89,197.7,197.72,1127543
2017-10-31 16:00:00,198.64,198.64,196.51,197.22,1290659
2017-11-01 16:00:00,198.2,198.58,196.75,197.84,1679001
2017-11-02 16:00:00,205.75,205.75,197.6,198.39,1958578
2017-11-03 16:00:00,198.65,203.1,196.2775,201.9,1238186
2017-11-06 16:00:00,201.9,205.18,201.435,205.0,1322126
2017-11-07 16:00:00,205.02,206.45,204.02,205.49,1128362
2017-11-08 16:00:00,205.0,205.0,200.48,200.5,1636812
2017-11-09 16:00:00,200.0,200.0,196.37,197.52,1774193
2017-11-10 16:00:00,197.56,198.545,196.9,197.98,991083
2017-11-13 16:00:00,197.8,198.27,195.9,197.61,1277904
2017-11-14 16:00:00,197.23,197.67,195.25,197.14,1263193
2017-11-15 16:00:00,196.62,197.405,196.12,196.5,1293547
2017-11-16 16:00:00,196.7,201.34,196.29,200.97,1130072
2017-11-17 16:00:00,199.91,200.21,197.77,197.97,980920
2017-11-20 16:00:00,198.66,199.835,197.88,199.41,826251
2017-11-21 16:00:00,200.0,202.09,199.7301,201.99,1125137
2017-11-22 16:00:00,202.25,202.37,199.92,200.72,791410
2017-11-24 13:00:00,200.59,201.45,200.1,200.6,409817
