,Open,High,Low,Close,Volume
2017-09-14 16:00:00,75.87,76.0103,75.25,75.62,461772
2017-09-15 16:00:00,75.54,75.79,74.78,75.22,1390942
2017-09-18 16:00:00,75.52,76.29,75.02,76.08,707099
2017-09-19 16:00:00,76.3,76.45,75.85,76.04,407998
2017-09-20 16:00:00,76.12,76.4,75.8,76.33,308031
2017-09-21 16:00:00,75.96,76.35,75.1181,75.58,297107
2017-09-22 16:00:00,75.52,76.0,75.485,75.88,223041
2017-09-25 16:00:00,75.68,76.45,75.57,76.32,282366
2017-09-26 16:00:00,76.31,76.7,75.615,76.17,414223
2017-09-27 16:00:00,76.7,77.18,76.23,76.9,388120
2017-09-28 16:00:00,76.66,77.545,76.53,77.38,325395
2017-09-29 16:00:00,77.32,77.32,76.42,76.57,555038
2017-10-02 16:00:00,76.45,77.58,76.251,77.5,332613
2017-10-03 16:00:00,77.1,77.39,76.62,77.16,415712
2017-10-04 16:00:00,77.02,77.54,76.59,77.38,314484
2017-10-05 16:00:00,77.58,77.7638,77.04,77.39,333723
2017-10-06 16:00:00,77.54,77.73,76.45,76.7,561722
2017-10-09 16:00:00,76.86,76.995,76.25,76.36,302906
2017-10-10 16:00:00,76.26,77.19,76.26,77.12,319357
2017-10-11 16:00:00,77.07,77.23,76.63,76.94,344306
2017-10-12 16:00:00,76.79,76.8998,75.53,75.93,520584
2017-10-13 16:00:00,75.94,77.06,75.77,76.47,393623
2017-10-16 16:00:00,76.7,77.29,76.13,76.42,485186
2017-10-17 16:00:00,76.51,76.52,75.78,75.93,307960
2017-10-18 16:00:00,76.11,76.24,75.69,76.0,391155
2017-10-19 16:00:00,75.75,76.26,75.494,76.19,528767
2017-10-20 16:00:00,76.66,76.75,75.92,76.46,620218
2017-10-23 16:00:00,76.56,76.56,75.83,76.12,309434
2017-10-24 16:00:00,76.17,76.39,75.735,76.26,683157
2017-10-25 16:00:00,76.18,76.2075,75.28,75.75,372340
2017-10-26 16:00:00,75.99,76.505,75.42,76.02,416085
2017-10-27 16:00:00,74.96,76.08,70.5,71.03,1189936
2017-10-30 16:00:00,70.79,71.6,70.28,70.41,661326
2017-10-31 16:00:00,70.27,70.69,70.07,70.17,651166
2017-11-01 16:00:00,70.26,71.12,70.21,70.71,564987
2017-11-02 16:00:00,70.78,72.61,70.735,72.56,1020969
2017-11-03 16:00:00,72.46,72.92,71.77,72.57,813209
2017-11-06 16:00:00,72.34,73.67,72.06,73.27,527539
2017-11-07 16:00:00,73.06,74.07,72.4994,72.87,543045
2017-11-08 16:00:00,72.87,73.31,72.54,72.7,383235
2017-11-09 16:00:00,72.62,73.27,72.36,73.1,398869
2017-11-10 16:00:00,73.08,73.97,72.63,73.4,492579
2017-11-13 16:00:00,73.26,73.67,73.01,73.3,673956
2017-11-14 16:00:00,73.08,74.13,72.69,74.06,438559
2017-11-15 16:00:00,73.94,74.52,73.4,74.11,455903
2017-11-16 16:00:00,74.17,74.29,73.29,73.59,629969
2017-11-17 16:00:00,73.92,73.92,73.16,73.46,2572340
2017-11-20 16:00:00,73.49,73.75,73.15,73.43,569326
2017-11-21 16:00:00,73.76,73.96,73.375,73.46,451565
2017-11-22 16:00:00,73.31,73.31,72.51,72.66,439036
2017-11-24 13:00:00,72.67,72.73,72.36,72.51,188101
2017-11-27 16:00:00,72.73,73.58,72.541,73.41,420004
2017-11-28 16:00:00,73.41,74.32,73.13,74.25,483120
2017-11-29 16:00:00,74.25,75.36,74.1471,74.87,552822
2017-11-30 16:00:00,74.69,75.47,74.08,74.73,754311
2017-12-01 16:00:00,75.0,75.24,73.0,74.52,523292
2017-12-04 16:00:00,75.02,76.155,74.58,75.37,477811
2017-12-05 16:00:00,75.54,75.54,74.28,74.38,409536
2017-12-06 16:00:00,74.51,75.0566,74.33,74.46,342815
2017-12-07 16:00:00,74.29,74.76,74.03,74.16,409462
2017-12-08 16:00:00,74.17,74.44,73.85,74.4,342659
2017-12-11 16:00:00,74.38,74.59,73.98,74.56,350816
2017-12-12 16:00:00,74.44,74.8,74.4,74.52,378401
2017-12-13 16:00:00,74.6,74.6,73.37,73.68,641665
