,Open,High,Low,Close,Volume
2017-09-14 16:00:00,68.71,68.92,68.05,68.18,1673282
2017-09-15 16:00:00,67.98,69.11,67.83,69.09,2822577
2017-09-18 16:00:00,69.38,70.76,69.2,70.68,1588138
2017-09-19 16:00:00,70.76,71.87,70.44,71.84,1470211
2017-09-20 16:00:00,71.98,72.7,70.84,72.53,2134681
2017-09-21 16:00:00,72.6,73.45,72.43,73.33,1351983
2017-09-22 16:00:00,72.81,73.54,72.465,73.42,1023469
2017-09-25 16:00:00,73.24,73.94,73.0,73.62,1306795
2017-09-26 16:00:00,73.8,74.18,73.43,73.78,1334075
2017-09-27 16:00:00,75.0,75.98,74.52,75.12,2019714
2017-09-28 16:00:00,75.29,75.61,74.59,75.52,1416104
2017-09-29 16:00:00,75.6,76.76,75.47,76.26,970408
2017-10-02 16:00:00,76.36,76.75,75.83,76.65,1568073
2017-10-03 16:00:00,76.63,76.73,75.61,76.17,1643743
2017-10-04 16:00:00,76.17,76.6642,75.18,75.3,1606266
2017-10-05 16:00:00,75.67,77.05,75.03,77.0,2064291
2017-10-06 16:00:00,77.37,77.95,76.72,76.92,1730654
2017-10-09 16:00:00,77.09,77.17,76.28,76.41,1077907
2017-10-10 16:00:00,76.66,77.33,76.42,76.95,1120239
2017-10-11 16:00:00,76.69,76.96,76.34,76.5,63005
2017-10-12 16:00:00,76.73,76.87,75.73,75.83,1327983
2017-10-13 16:00:00,75.72,76.05,74.885,75.55,1287829
2017-10-16 16:00:00,75.61,76.14,74.97,75.34,2315845
2017-10-17 16:00:00,76.03,76.81,74.66,74.8,2615935
2017-10-18 16:00:00,75.53,76.76,74.83,76.57,2010551
2017-10-19 16:00:00,75.84,77.61,75.29,77.48,1832679
2017-10-20 16:00:00,78.5,79.2,78.23,79.07,2181456
2017-10-23 16:00:00,79.13,79.22,78.45,78.54,2230051
2017-10-24 16:00:00,79.0,80.04,78.99,79.56,1963316
2017-10-25 16:00:00,80.22,80.25,78.34,78.88,1329845
2017-10-26 16:00:00,79.12,80.005,79.12,79.71,1313259
2017-10-27 16:00:00,79.35,80.0,79.19,79.79,965401
2017-10-30 16:00:00,79.28,79.58,78.39,78.82,960513
2017-10-31 16:00:00,78.64,79.48,78.46,78.57,1206367
2017-11-01 16:00:00,79.08,79.78,78.39,78.45,1161243
2017-11-02 16:00:00,78.45,79.92,78.1,79.44,1484196
2017-11-03 16:00:00,79.2,80.25,79.04,79.75,1584339
2017-11-06 16:00:00,79.51,79.72,78.87,79.54,1124402
2017-11-07 16:00:00,79.49,79.71,77.02,77.16,1606671
2017-11-08 16:00:00,76.68,76.88,75.57,76.14,1980854
2017-11-09 16:00:00,75.45,76.3,74.34,75.28,1393162
2017-11-10 16:00:00,75.55,76.22,74.89,74.93,1165647
2017-11-13 16:00:00,74.33,77.15,74.16,76.94,2256345
2017-11-14 16:00:00,76.53,79.35,76.53,78.71,2557814
2017-11-15 16:00:00,77.7,79.685,76.83,78.88,1942937
2017-11-16 16:00:00,79.54,79.99,78.31,78.42,1237679
2017-11-17 16:00:00,78.3,79.82,77.88,79.13,1262438
2017-11-20 16:00:00,79.41,80.04,79.28,79.8,1222872
2017-11-21 16:00:00,80.06,80.06,79.19,79.4,1171181
2017-11-22 16:00:00,79.51,80.09,79.17,79.34,875462
2017-11-24 13:00:00,79.59,79.66,78.54,78.67,433526
2017-11-27 16:00:00,78.76,79.29,78.39,78.64,1039552
2017-11-28 16:00:00,78.67,81.01,78.67,80.83,1762534
2017-11-29 16:00:00,81.46,84.83,81.45,83.49,3202183
2017-11-30 16:00:00,84.18,85.28,83.21,83.31,2650521
2017-12-01 16:00:00,83.45,84.81,81.46,83.78,2054497
2017-12-04 16:00:00,85.58,86.78,84.52,85.11,3165900
2017-12-05 16:00:00,85.2,85.61,83.85,83.94,1365893
2017-12-06 16:00:00,83.65,84.02,83.09,83.23,1386751
2017-12-07 16:00:00,82.77,84.96,82.7,84.43,1812893
2017-12-08 16:00:00,84.9,85.63,84.68,85.4,1348219
2017-12-11 16:00:00,85.22,85.47,84.39,84.67,1257950
2017-12-12 16:00:00,85.87,86.26,84.92,85.87,1571357
2017-12-13 16:00:00,85.81,86.45,84.73,84.81,1626558
