,Open,High,Low,Close,Volume
2017-09-14 16:00:00,37.94,38.04,37.57,37.6,26552569
2017-09-15 16:00:00,37.55,37.55,36.44,36.93,62370131
2017-09-18 16:00:00,36.88,37.305,36.59,37.11,27256941
2017-09-19 16:00:00,37.07,37.425,36.665,37.3,38769662
2017-09-20 16:00:00,37.44,37.8,37.25,37.46,31081275
2017-09-21 16:00:00,37.38,37.74,37.37,37.47,18562727
2017-09-22 16:00:00,37.28,38.14,37.27,38.1,21749229
2017-09-25 16:00:00,38.07,38.11,37.535,37.91,21601830
2017-09-26 16:00:00,37.9,38.08,37.64,37.81,16012285
2017-09-27 16:00:00,37.83,38.84,37.72,38.53,24556750
2017-09-28 16:00:00,38.25,38.4,37.73,37.82,16361270
2017-09-29 16:00:00,37.82,38.51,37.61,38.48,19204345
2017-10-02 16:00:00,38.41,38.85,37.93,37.97,18159103
2017-10-03 16:00:00,37.78,38.38,37.69,38.3,18542136
2017-10-04 16:00:00,38.35,38.61,38.12,38.59,20979252
2017-10-05 16:00:00,38.6,38.78,38.09,38.35,20141593
2017-10-06 16:00:00,38.31,38.45,37.95,38.01,18821459
2017-10-09 16:00:00,37.99,38.25,37.72,37.8,10685053
2017-10-10 16:00:00,37.8,38.04,37.51,37.69,15016924
2017-10-11 16:00:00,37.64,37.64,37.2,37.42,26369098
2017-10-12 16:00:00,36.8,36.9,35.78,35.95,50704486
2017-10-13 16:00:00,35.92,36.16,35.26,36.01,43672458
2017-10-16 16:00:00,36.16,37.09,36.12,36.61,26664894
2017-10-17 16:00:00,36.57,36.73,36.44,36.47,14930277
2017-10-18 16:00:00,36.55,36.63,36.13,36.2,17992916
2017-10-19 16:00:00,36.15,37.01,36.05,36.9,25334168
2017-10-20 16:00:00,37.2,37.22,36.87,37.22,14577651
2017-10-23 16:00:00,37.27,37.27,36.52,36.55,30745765
2017-10-24 16:00:00,36.64,36.88,36.26,36.5,25248379
2017-10-25 16:00:00,36.22,36.85,36.2,36.83,26233683
2017-10-26 16:00:00,35.89,37.2,35.52,36.27,58632000
2017-10-27 16:00:00,35.93,36.92,35.34,36.79,51081726
2017-10-30 16:00:00,36.67,36.7,36.06,36.5,29432242
2017-10-31 16:00:00,36.51,36.57,35.93,36.03,21828568
2017-11-01 16:00:00,36.25,36.42,35.94,36.08,18199801
2017-11-02 16:00:00,36.09,36.09,34.92,35.15,40318979
2017-11-03 16:00:00,35.08,35.69,34.78,35.68,30164260
2017-11-06 16:00:00,35.58,36.06,35.28,35.54,23362179
2017-11-07 16:00:00,35.57,36.91,35.57,36.39,38113915
2017-11-08 16:00:00,36.51,36.63,36.07,36.21,23914880
2017-11-09 16:00:00,35.98,36.92,35.83,36.56,16159783
2017-11-10 16:00:00,36.5,37.31,36.5,36.85,18010307
2017-11-13 16:00:00,36.69,37.28,36.59,37.25,16256619
2017-11-14 16:00:00,37.01,37.06,36.61,36.86,20192118
2017-11-15 16:00:00,36.9,37.28,36.67,37.18,20447110
2017-11-16 16:00:00,36.9,37.5669,36.9,37.07,21597781
2017-11-17 16:00:00,37.0,37.0,36.12,36.16,38138596
2017-11-20 16:00:00,36.1,36.35,35.75,35.83,19409481
2017-11-21 16:00:00,36.14,36.505,36.0,36.42,22750360
2017-11-22 16:00:00,36.39,36.49,36.13,36.41,16402287
2017-11-24 13:00:00,36.29,36.35,35.78,35.87,12296441
2017-11-27 16:00:00,35.78,35.87,35.31,35.55,24580496
2017-11-28 16:00:00,35.56,36.25,35.26,36.25,34506705
2017-11-29 16:00:00,37.075,37.725,36.01,37.19,33941016
2017-11-30 16:00:00,36.97,37.64,36.48,37.54,42859852
2017-12-01 16:00:00,37.15,38.7,37.11,38.43,32532614
2017-12-04 16:00:00,39.42,40.73,39.42,40.32,55137392
2017-12-05 16:00:00,39.87,40.39,39.47,39.52,28738152
2017-12-06 16:00:00,39.83,39.84,38.55,38.63,25463737
2017-12-07 16:00:00,38.5,38.57,37.75,37.89,29282439
2017-12-08 16:00:00,38.5,38.5,37.87,37.95,22223994
2017-12-11 16:00:00,38.28,38.46,37.955,38.44,23772097
2017-12-12 16:00:00,39.4,40.15,39.0,39.51,33637642
2017-12-13 16:00:00,39.51,39.54,38.5,38.58,27981080
