,Open,High,Low,Close,Volume
2017-09-14 16:00:00,131.18,132.17,130.82,132.12,1591942
2017-09-15 16:00:00,131.98,132.34,130.92,131.29,1670615
2017-09-18 16:00:00,130.86,131.95,130.365,131.3,1495044
2017-09-19 16:00:00,131.51,132.9,131.27,131.81,1635724
2017-09-20 16:00:00,132.0,134.2399,131.96,133.8,1443260
2017-09-21 16:00:00,133.43,134.16,133.06,133.8,766639
2017-09-22 16:00:00,132.93,134.36,132.86,134.17,770681
2017-09-25 16:00:00,134.28,134.63,132.591,134.3,735917
2017-09-26 16:00:00,134.21,134.38,132.82,133.09,927559
2017-09-27 16:00:00,133.43,134.98,133.24,134.53,1191190
2017-09-28 16:00:00,134.54,136.02,133.93,135.86,1222931
2017-09-29 16:00:00,135.87,136.26,135.17,135.68,1071265
2017-10-02 16:00:00,135.73,136.52,135.25,136.4,822074
2017-10-03 16:00:00,136.37,137.45,134.79,137.33,1364064
2017-10-04 16:00:00,137.02,137.29,136.39,136.88,1010418
2017-10-05 16:00:00,137.24,138.335,136.24,138.02,988996
2017-10-06 16:00:00,138.13,138.39,135.73,137.2,1575659
2017-10-09 16:00:00,137.03,138.39,136.37,137.99,814167
2017-10-10 16:00:00,138.48,138.485,136.25,137.23,1114838
2017-10-11 16:00:00,136.83,137.7,136.4,137.19,1058875
2017-10-12 16:00:00,137.2,137.9,136.55,137.71,967275
2017-10-13 16:00:00,137.57,138.27,136.81,137.31,1737442
2017-10-16 16:00:00,137.61,137.99,136.97,137.52,763336
2017-10-17 16:00:00,137.51,137.51,136.03,136.19,1259574
2017-10-18 16:00:00,136.36,136.75,135.52,136.37,1002059
2017-10-19 16:00:00,135.86,135.86,134.37,134.95,1140992
2017-10-20 16:00:00,135.54,135.6332,134.7,135.13,1180139
2017-10-23 16:00:00,135.0,135.34,134.3664,134.61,1038946
2017-10-24 16:00:00,134.8,134.9,133.64,134.07,1498072
2017-10-25 16:00:00,134.0,134.36,132.33,133.85,1829100
2017-10-26 16:00:00,134.6,137.0,132.77,136.6,1782944
2017-10-27 16:00:00,135.89,137.86,134.09,137.55,1921527
2017-10-30 16:00:00,136.88,137.46,136.09,136.11,1244195
2017-10-31 16:00:00,136.21,137.62,135.87,137.17,1186867
2017-11-01 16:00:00,137.99,138.29,135.61,136.14,1002578
2017-11-02 16:00:00,136.15,140.57,136.01,140.3,1553803
2017-11-03 16:00:00,139.53,141.07,139.4101,140.06,1720387
2017-11-06 16:00:00,139.68,139.9,137.67,138.16,1080027
2017-11-07 16:00:00,138.39,139.44,136.85,137.55,755780
2017-11-08 16:00:00,137.56,138.145,137.24,137.6,796976
2017-11-09 16:00:00,137.34,138.16,136.35,138.04,764077
2017-11-10 16:00:00,138.18,139.0,137.56,137.88,750198
2017-11-13 16:00:00,137.72,140.35,137.51,140.15,1142153
2017-11-14 16:00:00,139.68,141.04,138.93,140.2,1267451
2017-11-15 16:00:00,139.72,141.44,139.51,139.67,1017253
2017-11-16 16:00:00,140.38,140.61,139.255,140.09,740851
2017-11-17 16:00:00,139.57,140.13,139.04,139.49,924322
2017-11-20 16:00:00,140.11,142.64,139.75,141.9,1138074
2017-11-21 16:00:00,142.72,143.99,141.64,142.58,1078017
2017-11-22 16:00:00,143.29,143.29,140.51,141.87,1040699
2017-11-24 13:00:00,142.29,142.95,141.64,141.86,312282
2017-11-27 16:00:00,142.28,143.42,141.99,142.07,1060125
2017-11-28 16:00:00,142.45,145.21,141.71,145.12,1371694
2017-11-29 16:00:00,145.85,149.29,145.76,147.83,2558008
2017-11-30 16:00:00,148.26,151.85,147.84,149.54,2434813
2017-12-01 16:00:00,151.46,152.14,148.4,150.79,2808015
2017-12-04 16:00:00,153.5,154.03,150.98,153.41,2446333
2017-12-05 16:00:00,153.52,155.29,151.58,152.11,2130064
2017-12-06 16:00:00,152.38,153.2,149.69,152.75,1432423
2017-12-07 16:00:00,152.5,153.49,150.29,152.07,1489570
2017-12-08 16:00:00,152.67,153.02,151.01,152.82,1494394
2017-12-11 16:00:00,153.2,153.68,152.22,152.71,1019937
2017-12-12 16:00:00,152.56,153.65,152.2,153.03,1327015
2017-12-13 16:00:00,153.1,153.55,151.35,151.61,1285927
