,Open,High,Low,Close,Volume
2017-10-25 16:00:00,283.04,283.99,273.78,277.01,9991136
2017-10-26 16:00:00,275.35,282.66,270.0,281.52,3333743
2017-10-27 16:00:00,280.66,282.4,275.31,276.12,1637424
2017-10-30 16:00:00,275.0,275.13,268.18,268.7,1769037
2017-10-31 16:00:00,268.14,272.78,264.9,271.9,1310503
2017-11-01 16:00:00,271.9,275.48,269.75,270.2,1035529
2017-11-02 16:00:00,270.01,280.8288,268.58,279.46,1952529
2017-11-03 16:00:00,277.39,278.63,271.5,273.53,1188921
2017-11-06 16:00:00,273.37,276.411,270.59,275.77,835417
2017-11-07 16:00:00,276.34,276.34,272.83,274.5,765434
2017-11-08 16:00:00,274.45,275.9181,272.53,273.9,598887
2017-11-09 16:00:00,273.01,276.88,270.12,275.0,821509
2017-11-10 16:00:00,275.0,281.0,273.51,279.45,1060839
2017-11-13 16:00:00,272.72,279.25,263.0,277.5,1822038
2017-11-14 16:00:00,277.73,284.26,277.475,280.9,984430
2017-11-15 16:00:00,279.6,287.25,277.815,285.45,1059852
2017-11-16 16:00:00,285.89,289.2499,283.159,283.7,796705
2017-11-17 16:00:00,283.56,291.51,283.56,289.84,1277873
2017-11-20 16:00:00,289.84,289.84,282.17,283.25,760973
2017-11-21 16:00:00,284.04,284.04,277.85,279.51,768705
2017-11-22 16:00:00,279.87,282.695,278.78,281.27,598560
2017-11-24 13:00:00,281.19,282.5,278.56,279.31,335240
