,Open,High,Low,Close,Volume
2017-09-14 16:00:00,47.41,47.9,47.27,47.89,2518320
2017-09-15 16:00:00,47.77,47.91,47.49,47.87,3244228
2017-09-18 16:00:00,47.86,47.96,47.25,47.63,2205031
2017-09-19 16:00:00,47.68,47.72,47.37,47.39,2299182
2017-09-20 16:00:00,47.5,47.63,47.0,47.07,4414649
2017-09-21 16:00:00,46.92,47.365,46.92,47.06,1474994
2017-09-22 16:00:00,47.3,47.3,46.27,46.47,2774009
2017-09-25 16:00:00,46.43,47.1,46.36,47.1,2316974
2017-09-26 16:00:00,46.98,47.055,46.665,46.94,1786447
2017-09-27 16:00:00,46.68,46.78,45.92,46.23,1458210
2017-09-28 16:00:00,46.13,46.46,45.925,46.35,1221609
2017-09-29 16:00:00,46.36,46.51,46.185,46.32,1499791
2017-10-02 16:00:00,46.42,46.57,46.1,46.42,1459997
2017-10-03 16:00:00,46.38,46.38,45.87,45.97,1925571
2017-10-04 16:00:00,46.0,46.5,45.82,46.49,2030406
2017-10-05 16:00:00,46.53,46.59,46.15,46.53,2778839
2017-10-06 16:00:00,46.36,46.5,46.15,46.3,2510214
2017-10-09 16:00:00,46.42,46.62,46.31,46.48,1057798
2017-10-10 16:00:00,46.55,47.02,46.39,47.0,2633163
2017-10-11 16:00:00,47.0,47.49,46.97,47.42,217442
2017-10-12 16:00:00,47.39,47.72,47.386,47.72,1490184
2017-10-13 16:00:00,47.84,48.08,47.43,47.54,1108806
2017-10-16 16:00:00,47.44,47.64,47.19,47.41,1138437
2017-10-17 16:00:00,47.27,47.835,47.2,47.81,1331449
2017-10-18 16:00:00,47.66,47.845,47.44,47.81,2042191
2017-10-19 16:00:00,47.88,48.21,47.74,48.19,1538675
2017-10-20 16:00:00,48.13,48.28,47.955,48.18,1205505
2017-10-23 16:00:00,48.28,48.32,48.02,48.21,1362808
2017-10-24 16:00:00,48.45,48.47,48.09,48.42,1580700
2017-10-25 16:00:00,48.2,48.31,47.54,47.97,2722361
2017-10-26 16:00:00,48.44,48.92,47.9,47.94,2385451
2017-10-27 16:00:00,47.94,48.37,47.77,48.2,1689908
2017-10-30 16:00:00,48.14,48.29,47.73,47.8,3372027
2017-10-31 16:00:00,47.71,48.44,47.71,48.37,2753592
2017-11-01 16:00:00,48.5,48.69,47.89,48.07,2057176
2017-11-02 16:00:00,47.83,48.25,47.76,48.12,2076283
2017-11-03 16:00:00,48.06,48.535,48.0198,48.13,2281146
2017-11-06 16:00:00,48.19,48.43,47.99,48.05,1883745
2017-11-07 16:00:00,48.14,48.93,47.84,48.91,2165383
2017-11-08 16:00:00,48.79,49.17,48.72,49.13,2918844
2017-11-09 16:00:00,49.0,49.41,48.88,49.28,2343188
2017-11-10 16:00:00,49.02,49.35,48.91,49.27,2010434
2017-11-13 16:00:00,49.35,49.85,49.29,49.63,1875801
2017-11-14 16:00:00,49.59,50.71,49.59,50.55,3279286
2017-11-15 16:00:00,50.62,50.85,50.2,50.22,2034863
2017-11-16 16:00:00,50.1,50.3,50.0,50.17,1355584
2017-11-17 16:00:00,50.04,50.26,49.52,49.59,1628811
2017-11-20 16:00:00,49.62,49.76,49.35,49.41,1356797
2017-11-21 16:00:00,49.53,49.65,49.397,49.48,1433506
2017-11-22 16:00:00,49.42,49.54,49.255,49.4,1078608
2017-11-24 13:00:00,49.51,49.71,49.44,49.44,435212
2017-11-27 16:00:00,49.62,49.85,49.42,49.75,1568975
2017-11-28 16:00:00,49.76,49.98,49.64,49.7,1954565
2017-11-29 16:00:00,49.63,50.09,49.51,49.61,2248663
2017-11-30 16:00:00,49.68,50.045,49.11,49.9,3715215
2017-12-01 16:00:00,50.09,50.245,49.54,49.74,2304096
2017-12-04 16:00:00,49.91,50.01,49.575,49.76,1767346
2017-12-05 16:00:00,49.83,49.85,49.05,49.31,1991319
2017-12-06 16:00:00,49.45,49.56,49.19,49.41,1409982
2017-12-07 16:00:00,49.45,49.58,49.11,49.58,1918317
2017-12-08 16:00:00,49.51,49.91,49.34,49.87,2842145
2017-12-11 16:00:00,49.71,50.11,49.55,50.09,1983997
2017-12-12 16:00:00,49.17,50.15,49.16,49.17,1715796
2017-12-13 16:00:00,49.24,49.51,49.04,49.25,1569471
