,Open,High,Low,Close,Volume
2017-10-25 16:00:00,93.0,93.05,89.08,90.76,2718851
2017-10-26 16:00:00,91.18,91.42,89.87,91.13,2356426
2017-10-27 16:00:00,91.09,94.97,90.54,94.41,2181514
2017-10-30 16:00:00,94.09,95.0,92.94,93.81,1070916
2017-10-31 16:00:00,93.97,95.425,92.93,93.67,1414150
2017-11-01 16:00:00,94.09,97.08,94.09,96.65,2238078
2017-11-02 16:00:00,97.17,97.49,94.73,95.81,1512168
2017-11-03 16:00:00,95.49,96.68,95.0,96.03,853667
2017-11-06 16:00:00,96.26,97.3099,95.1,95.32,1097850
2017-11-07 16:00:00,95.2,96.11,94.23,94.81,609018
2017-11-08 16:00:00,94.72,94.739,92.175,93.15,1243798
2017-11-09 16:00:00,92.78,93.345,91.57,93.28,1059126
2017-11-10 16:00:00,93.37,93.88,92.33,93.68,653473
2017-11-13 16:00:00,93.11,94.99,93.11,94.36,1528093
2017-11-14 16:00:00,93.95,94.36,92.75,93.03,857761
2017-11-15 16:00:00,92.8,93.02,90.065,92.15,1276431
2017-11-16 16:00:00,92.51,96.93,92.51,95.94,1733329
2017-11-17 16:00:00,95.67,95.95,95.04,95.14,1005035
2017-11-20 16:00:00,95.23,95.64,93.39,93.78,1233555
2017-11-21 16:00:00,94.39,94.84,93.15,93.92,1192105
2017-11-22 16:00:00,94.4,98.66,94.33,96.95,1380820
2017-11-24 13:00:00,97.07,97.89,96.53,97.17,408957
