,Open,High,Low,Close,Volume
2017-09-14 16:00:00,29.92,30.185,29.78,30.14,3753091
2017-09-15 16:00:00,30.19,30.295,30.1,30.27,5332092
2017-09-18 16:00:00,30.29,30.34,29.82,29.98,2239161
2017-09-19 16:00:00,30.05,30.07,29.86,29.97,3556693
2017-09-20 16:00:00,30.05,30.12,29.61,29.7,2274545
2017-09-21 16:00:00,29.68,29.835,29.42,29.49,2836700
2017-09-22 16:00:00,29.58,29.58,29.17,29.2,2626025
2017-09-25 16:00:00,29.22,29.69,29.17,29.66,2800362
2017-09-26 16:00:00,29.57,29.73,29.35,29.64,3296386
2017-09-27 16:00:00,29.5,29.64,28.97,29.08,3459227
2017-09-28 16:00:00,29.07,29.235,28.9,29.15,2937079
2017-09-29 16:00:00,29.17,29.27,29.07,29.21,2771613
2017-10-02 16:00:00,29.25,29.28,28.89,28.96,3035316
2017-10-03 16:00:00,28.98,28.98,28.6,28.78,2140057
2017-10-04 16:00:00,28.78,29.01,28.67,28.99,2432971
2017-10-05 16:00:00,28.99,29.11,28.81,29.06,3087970
2017-10-06 16:00:00,28.92,28.99,28.81,28.88,2363410
2017-10-09 16:00:00,28.91,28.98,28.69,28.73,2737775
2017-10-10 16:00:00,28.83,29.135,28.73,29.12,2294411
2017-10-11 16:00:00,29.15,29.485,29.15,29.41,177154
2017-10-12 16:00:00,29.31,29.77,29.23,29.72,4504450
2017-10-13 16:00:00,29.84,29.965,29.35,29.36,2650610
2017-10-16 16:00:00,29.26,29.56,29.2,29.46,2816525
2017-10-17 16:00:00,29.43,29.55,29.27,29.53,2240865
2017-10-18 16:00:00,29.51,29.8,29.48,29.58,2165872
2017-10-19 16:00:00,29.61,29.75,29.47,29.75,1874449
2017-10-20 16:00:00,29.69,29.75,29.52,29.7,1545326
2017-10-23 16:00:00,29.7,29.725,29.51,29.67,2624026
2017-10-24 16:00:00,29.68,29.78,29.46,29.59,3425954
2017-10-25 16:00:00,29.45,29.49,29.0684,29.38,2001985
2017-10-26 16:00:00,29.51,29.77,29.445,29.49,2390736
2017-10-27 16:00:00,29.38,29.75,29.29,29.75,1603681
2017-10-30 16:00:00,29.7,29.74,29.42,29.47,2565527
2017-10-31 16:00:00,29.42,29.645,29.35,29.58,2495225
2017-11-01 16:00:00,29.71,29.77,29.45,29.71,3733316
2017-11-02 16:00:00,29.71,29.81,29.44,29.74,3326501
2017-11-03 16:00:00,28.57,29.86,28.2,29.59,3003782
2017-11-06 16:00:00,29.6,29.87,29.485,29.72,2011014
2017-11-07 16:00:00,29.7,29.99,29.69,29.95,2565911
2017-11-08 16:00:00,29.92,30.04,29.79,29.95,2137752
2017-11-09 16:00:00,29.83,29.92,29.65,29.81,2319013
2017-11-10 16:00:00,29.66,29.71,29.33,29.41,2403712
2017-11-13 16:00:00,29.42,29.66,29.4,29.63,2215844
2017-11-14 16:00:00,29.5,29.96,29.49,29.95,3224559
2017-11-15 16:00:00,29.74,29.85,29.27,29.35,2860060
2017-11-16 16:00:00,29.25,29.31,28.8047,29.03,3326529
2017-11-17 16:00:00,28.98,29.165,28.91,29.0,2913139
2017-11-20 16:00:00,29.01,29.13,28.84,29.12,2123273
2017-11-21 16:00:00,29.2,29.21,29.03,29.09,1665845
2017-11-22 16:00:00,29.11,29.21,29.08,29.15,1772703
2017-11-24 13:00:00,29.15,29.23,29.02,29.03,852505
2017-11-27 16:00:00,29.11,29.57,29.05,29.54,2607495
2017-11-28 16:00:00,29.57,29.695,29.51,29.58,1525145
2017-11-29 16:00:00,29.51,29.915,29.45,29.67,2061528
2017-11-30 16:00:00,29.68,30.07,29.68,30.01,4487350
2017-12-01 16:00:00,30.17,30.17,29.08,29.53,3766830
2017-12-04 16:00:00,29.24,29.5,29.0,29.36,3757526
2017-12-05 16:00:00,29.36,29.36,28.87,28.91,2870596
2017-12-06 16:00:00,28.96,29.19,28.78,29.01,3617958
2017-12-07 16:00:00,28.97,28.97,28.66,28.86,3001841
2017-12-08 16:00:00,28.825,28.91,28.68,28.91,3209109
2017-12-11 16:00:00,28.7799,28.88,28.67,28.85,2837947
2017-12-12 16:00:00,28.38,28.99,28.365,28.38,3065124
2017-12-13 16:00:00,28.45,28.5,28.22,28.4,3999026
