,Open,High,Low,Close,Volume
2017-10-25 16:00:00,91.1,92.0,89.97,90.82,5992539
2017-10-26 16:00:00,91.0,92.72,90.98,92.52,3210078
2017-10-27 16:00:00,92.67,92.98,92.0,92.78,2235471
2017-10-30 16:00:00,92.1,93.3999,92.1,92.43,1847616
2017-10-31 16:00:00,92.63,93.0,92.005,92.18,2184743
2017-11-01 16:00:00,92.66,92.99,91.41,91.9,1701786
2017-11-02 16:00:00,91.49,92.69,91.0,92.45,1337077
2017-11-03 16:00:00,92.09,92.4,91.42,91.6,2052020
2017-11-06 16:00:00,91.85,92.37,91.33,92.3,1369932
2017-11-07 16:00:00,92.29,92.56,89.9601,90.12,1846614
2017-11-08 16:00:00,89.8,89.99,88.58,88.97,2240863
2017-11-09 16:00:00,88.38,88.62,86.81,88.11,2148010
2017-11-10 16:00:00,87.19,87.53,86.78,87.15,1591738
2017-11-13 16:00:00,86.62,87.18,86.01,86.95,2370429
2017-11-14 16:00:00,86.43,86.595,85.41,86.0,3369479
2017-11-15 16:00:00,85.18,87.96,85.17,87.63,2842782
2017-11-16 16:00:00,87.92,88.555,86.94,87.15,2017556
2017-11-17 16:00:00,86.93,88.23,86.89,87.83,1687332
2017-11-20 16:00:00,87.99,88.46,87.68,88.27,1602828
2017-11-21 16:00:00,88.84,89.04,87.575,87.95,1298824
2017-11-22 16:00:00,87.98,88.1377,87.1,87.26,1265188
2017-11-24 13:00:00,87.8,87.8,87.24,87.38,506444
