,Open,High,Low,Close,Volume
2017-09-14 16:00:00,26.53,26.88,26.43,26.74,6400298
2017-09-15 16:00:00,26.75,26.83,26.42,26.81,6050689
2017-09-18 16:00:00,26.78,27.055,26.48,26.52,5558890
2017-09-19 16:00:00,26.46,26.54,26.08,26.21,6262295
2017-09-20 16:00:00,26.34,26.45,25.98,26.29,6884140
2017-09-21 16:00:00,26.13,26.49,25.955,26.41,3801623
2017-09-22 16:00:00,26.34,26.61,26.26,26.58,4461859
2017-09-25 16:00:00,26.73,26.91,26.56,26.8,3706642
2017-09-26 16:00:00,26.81,27.011,26.78,26.87,4996603
2017-09-27 16:00:00,27.0,27.09,26.52,26.83,6058883
2017-09-28 16:00:00,26.83,26.95,26.45,26.82,6840298
2017-09-29 16:00:00,26.59,26.825,26.435,26.75,4996825
2017-10-02 16:00:00,26.48,26.82,26.29,26.77,6350649
2017-10-03 16:00:00,26.72,26.78,26.515,26.58,3078195
2017-10-04 16:00:00,26.74,26.785,26.23,26.43,3488131
2017-10-05 16:00:00,26.57,26.65,26.315,26.39,3529342
2017-10-06 16:00:00,26.19,26.28,25.64,25.71,4560152
2017-10-09 16:00:00,25.71,25.75,25.28,25.44,4774869
2017-10-10 16:00:00,25.61,25.67,25.24,25.36,5563916
2017-10-11 16:00:00,25.44,25.53,25.27,25.285,417688
2017-10-12 16:00:00,25.42,26.07,25.32,26.0,5773346
2017-10-13 16:00:00,26.23,26.39,25.9,26.0,6533981
2017-10-16 16:00:00,25.99,26.11,25.66,25.69,4988814
2017-10-17 16:00:00,25.69,25.95,25.58,25.88,3990108
2017-10-18 16:00:00,25.78,26.0,25.59,25.62,3876971
2017-10-19 16:00:00,25.5,25.58,25.21,25.48,3644047
2017-10-20 16:00:00,25.52,25.6,25.35,25.53,3545462
2017-10-23 16:00:00,25.67,25.71,25.215,25.23,3602608
2017-10-24 16:00:00,25.27,25.33,24.82,24.92,3986384
2017-10-25 16:00:00,24.79,24.975,24.38,24.42,5455465
2017-10-26 16:00:00,24.41,24.68,24.1,24.65,5656312
2017-10-27 16:00:00,25.2,27.02,24.61,26.75,12719055
2017-10-30 16:00:00,26.85,27.31,26.65,27.19,7834042
2017-10-31 16:00:00,27.4,28.0,27.24,27.7,9259661
2017-11-01 16:00:00,27.75,28.1011,27.55,27.91,7164105
2017-11-02 16:00:00,27.97,28.29,27.78,28.26,7370402
2017-11-03 16:00:00,28.23,28.41,28.01,28.23,6115346
2017-11-06 16:00:00,28.6,29.03,28.4,28.78,7741606
2017-11-07 16:00:00,27.45,27.92,27.17,27.84,10863432
2017-11-08 16:00:00,27.8,28.11,27.34,27.82,6921065
2017-11-09 16:00:00,28.25,28.82,28.13,28.56,7256422
2017-11-10 16:00:00,28.31,29.06,28.3,28.99,6005335
2017-11-13 16:00:00,28.89,29.26,28.76,29.06,4422305
2017-11-14 16:00:00,28.81,28.92,28.285,28.46,4607147
2017-11-15 16:00:00,28.36,28.56,27.95,28.45,3996225
2017-11-16 16:00:00,28.58,28.84,28.3201,28.74,3802846
2017-11-17 16:00:00,28.91,29.41,28.82,29.39,5599626
2017-11-20 16:00:00,29.24,29.37,28.92,29.01,4078593
2017-11-21 16:00:00,29.13,29.295,28.91,29.07,2791350
2017-11-22 16:00:00,29.28,29.48,29.13,29.44,2645327
2017-11-24 13:00:00,29.49,29.5,29.19,29.25,995518
2017-11-27 16:00:00,29.4,29.465,29.08,29.14,2858403
2017-11-28 16:00:00,29.25,29.31,29.02,29.1,2885383
2017-11-29 16:00:00,29.39,29.47,28.91,29.17,3337186
2017-11-30 16:00:00,29.21,29.57,28.58,28.95,8371917
2017-12-01 16:00:00,29.23,29.54,28.37,28.68,7238323
2017-12-04 16:00:00,28.51,29.27,28.44,28.57,4391294
2017-12-05 16:00:00,28.43,28.495,28.14,28.33,4090194
2017-12-06 16:00:00,28.28,28.385,27.8933,28.05,3585958
2017-12-07 16:00:00,27.95,28.12,27.65,27.78,3204867
2017-12-08 16:00:00,27.89,28.08,27.7,27.75,4460902
2017-12-11 16:00:00,28.03,28.63,28.0,28.33,3282208
2017-12-12 16:00:00,27.6,28.51,27.59,27.6,3251962
2017-12-13 16:00:00,27.58,28.07,27.44,27.76,4039724
