,Open,High,Low,Close,Volume
2017-10-25 16:00:00,135.19,135.35,134.85,134.92,1659799
2017-10-26 16:00:00,135.15,135.55,134.92,135.05,1614525
2017-10-27 16:00:00,135.02,135.48,134.511,135.3,990436
2017-10-30 16:00:00,135.18,135.8,135.0,135.69,704196
2017-10-31 16:00:00,135.8,135.97,135.34,135.6,791228
2017-11-01 16:00:00,135.74,136.04,135.42,135.85,1054684
2017-11-02 16:00:00,135.75,136.5,135.51,136.02,853040
2017-11-03 16:00:00,136.0,136.29,135.355,135.93,1280786
2017-11-06 16:00:00,135.8,136.0,134.96,135.04,1330979
2017-11-07 16:00:00,135.04,135.37,134.21,134.98,1084807
2017-11-08 16:00:00,134.2,134.97,134.11,134.55,1107150
2017-11-09 16:00:00,134.33,134.42,132.86,133.49,1797035
2017-11-10 16:00:00,133.18,134.14,132.721,133.58,715007
2017-11-13 16:00:00,133.55,133.61,132.91,133.37,1210306
2017-11-14 16:00:00,133.12,133.32,132.75,132.88,1607294
2017-11-15 16:00:00,132.48,132.51,131.67,132.05,982061
2017-11-16 16:00:00,132.1,132.78,132.03,132.61,1098007
2017-11-17 16:00:00,132.3,132.45,131.93,132.27,991594
2017-11-20 16:00:00,132.4,132.63,132.18,132.47,595768
2017-11-21 16:00:00,132.47,132.76,132.2311,132.76,752988
2017-11-22 16:00:00,132.6,132.93,132.24,132.53,572247
2017-11-24 13:00:00,132.58,132.85,132.29,132.58,275516
